"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","leaked"
"C1","12112018",0,"1230",0,188.87815,188.87815,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
"C1","13112018",0.840277777773736,"0840",138,188.8779,188.7113,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.166850000000011,0.166850000000011,0.166600000000017,0.000249999999994088,0.166600000000017,0.000249999999994088,FALSE
"C1","14112018",1.84375,"0845",172.9,188.7118,188.5119,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.199399999999997,0.366250000000008,0.199900000000014,-0.000500000000016598,0.36650000000003,-0.00025000000002251,FALSE
"C1","15112018",2.85069444444525,"0855",165.5,188.507,188.328,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.183899999999994,0.550150000000002,0.179000000000002,0.00489999999999213,0.545500000000033,0.00464999999996962,FALSE
"C1","16112018",3.80902777777374,"0755",101.16,188.3279,188.2215,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.106500000000011,0.656650000000013,0.106400000000008,0.00010000000000332,0.65190000000004,0.00474999999997294,FALSE
"C1","17112018",4.86111111110949,"0910",60.7,188.22,188.1519,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.0695999999999799,0.726249999999993,0.0680999999999869,0.00149999999999295,0.720000000000027,0.00624999999996589,FALSE
"C1","18112018",5.85902777777665,"0907",38,188.1555,188.113,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.0389000000000124,0.765150000000006,0.0424999999999898,-0.0035999999999774,0.762500000000017,0.00264999999998849,FALSE
"C1","19112018",6.8395833333343,"0839",29.5,188.1089,188.0759,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.0371000000000095,0.802250000000015,0.0330000000000155,0.004099999999994,0.795500000000033,0.00674999999998249,FALSE
"C1","21112018",8.91666666666424,"1030",41,188.0801,188.0343,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.0415999999999883,0.843850000000003,0.0457999999999856,-0.00419999999999732,0.841300000000018,0.00254999999998518,FALSE
"C1","23112018",10.878472222219,"0935",30,188.039,188.0061,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.0281999999999982,0.872050000000002,0.0328999999999837,-0.00469999999998549,0.874200000000002,-0.00215000000000032,FALSE
"C1","25112018",13.125,"1530",24.33,188.005,187.9777,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.0284000000000049,0.900450000000006,0.0272999999999968,0.00110000000000809,0.901499999999999,-0.00104999999999222,FALSE
"C1","28112018",15.8541666666642,"0900",23,187.9773,187.9509,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0268000000000086,0.927250000000015,0.0264000000000237,0.000399999999984857,0.927900000000022,-0.000650000000007367,FALSE
"C1","01122018",18.909722222219,"1020",19.1,187.9522,187.9304,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0204999999999984,0.947750000000013,0.0218000000000131,-0.00130000000001473,0.949700000000036,-0.0019500000000221,FALSE
"C1","05122018",22.8611111111095,"0910",20.6,187.925,187.9008,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.0295999999999879,0.977350000000001,0.0242000000000075,0.00539999999998031,0.973900000000043,0.00344999999995821,FALSE
"C1","09122018",27.1458333333285,"1600",19.3,187.9007,187.8782,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.0226000000000113,0.999950000000013,0.022500000000008,0.00010000000000332,0.996400000000051,0.00354999999996153,FALSE
"C2","12112018",0,"1230",0,185.4918,185.4918,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
"C2","13112018",0.840277777773736,"0840",135.5,185.4912,185.3244,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.167400000000015,0.167400000000015,0.166799999999995,0.000600000000019918,0.166799999999995,0.000600000000019918,FALSE
"C2","14112018",1.84375,"0845",174.3,185.3254,185.1226,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.201799999999992,0.369200000000006,0.202799999999996,-0.00100000000000477,0.369599999999991,-0.000399999999984857,FALSE
"C2","15112018",2.85069444444525,"0855",168,185.1192,184.9382,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.184400000000011,0.553600000000017,0.181000000000012,0.00339999999999918,0.550600000000003,0.00300000000001432,FALSE
"C2","16112018",3.80902777777374,"0755",98,184.9402,184.833,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.105199999999996,0.658800000000014,0.107200000000006,-0.00200000000000955,0.657800000000009,0.00100000000000477,FALSE
"C2","17112018",4.86111111110949,"0910",61.5,184.8306,184.7644,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.0686000000000035,0.727400000000017,0.0662000000000091,0.00239999999999441,0.724000000000018,0.00339999999999918,FALSE
"C2","18112018",5.85902777777665,"0907",38,184.7673,184.7245,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.0398999999999887,0.767300000000006,0.0427999999999997,-0.002900000000011,0.766800000000018,0.000499999999988177,FALSE
"C2","19112018",6.8395833333343,"0839",29,184.7207,184.6886,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.035899999999998,0.803200000000004,0.0320999999999856,0.00380000000001246,0.798900000000003,0.00430000000000064,FALSE
"C2","21112018",8.91666666666424,"1030",41,184.6926,184.6461,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.0425000000000182,0.845700000000022,0.0465000000000089,-0.00399999999999068,0.845400000000012,0.000300000000009959,FALSE
"C2","23112018",10.878472222219,"0935",28.5,184.6502,184.6189,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.0271999999999935,0.872900000000016,0.0313000000000159,-0.00410000000002242,0.876700000000028,-0.00380000000001246,FALSE
"C2","25112018",13.125,"1530",24.5,184.6164,184.5895,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.0294000000000096,0.902300000000025,0.0269000000000119,0.00249999999999773,0.90360000000004,-0.00130000000001473,FALSE
"C2","28112018",15.8541666666642,"0900",22.5,184.5876,184.561,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0284999999999798,0.930800000000005,0.026600000000002,0.00189999999997781,0.930200000000042,0.000599999999963075,FALSE
"C2","01122018",18.909722222219,"1020",19,184.5637,184.5419,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0191000000000088,0.949900000000014,0.0218000000000131,-0.00270000000000437,0.952000000000055,-0.00210000000004129,FALSE
"C2","05122018",22.8611111111095,"0910",21,184.5362,184.5128,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.0290999999999997,0.979000000000013,0.0234000000000094,0.00569999999999027,0.975400000000064,0.00359999999994898,FALSE
"C2","09122018",27.1458333333285,"1600",19.5,184.5112,184.4892,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.0235999999999876,1.0026,0.0219999999999914,0.00159999999999627,0.997400000000056,0.00519999999994525,FALSE
"C3","12112018",0,"1230",0,184.33615,184.33615,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
"C3","13112018",0.840277777773736,"0840",140.5,184.336,184.1658,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.170350000000013,0.170350000000013,0.170200000000023,0.000149999999990769,0.170200000000023,0.000149999999990769,FALSE
"C3","14112018",1.84375,"0845",174,184.1666,183.9647,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.201099999999997,0.37145000000001,0.201899999999995,-0.000799999999998136,0.372100000000017,-0.000650000000007367,FALSE
"C3","15112018",2.85069444444525,"0855",166.5,183.9604,183.7807,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.183999999999997,0.555450000000008,0.179699999999997,0.00430000000000064,0.551800000000014,0.00364999999999327,FALSE
"C3","16112018",3.80902777777374,"0755",99.75,183.7837,183.6758,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.104899999999986,0.660349999999994,0.107900000000001,-0.00300000000001432,0.659700000000015,0.000649999999978945,FALSE
"C3","17112018",4.86111111110949,"0910",61,183.6749,183.6079,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.0679000000000087,0.728250000000003,0.0670000000000073,0.000900000000001455,0.726700000000022,0.0015499999999804,FALSE
"C3","18112018",5.85902777777665,"0907",38.75,183.6102,183.5665,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.0414000000000101,0.769650000000013,0.0437000000000012,-0.00229999999999109,0.770400000000024,-0.000750000000010687,FALSE
"C3","19112018",6.8395833333343,"0839",29,183.5632,183.5308,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.0356999999999914,0.805350000000004,0.0323999999999955,0.00329999999999586,0.802800000000019,0.00254999999998518,FALSE
"C3","21112018",8.91666666666424,"1030",42,183.5341,183.4878,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.0430000000000064,0.848350000000011,0.0463000000000022,-0.00329999999999586,0.849100000000021,-0.000750000000010687,FALSE
"C3","23112018",10.878472222219,"0935",29.8,183.4923,183.46,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.0277999999999849,0.876149999999996,0.0322999999999922,-0.00450000000000728,0.881400000000014,-0.00525000000001796,FALSE
"C3","25112018",13.125,"1530",25,183.4582,183.4308,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.029200000000003,0.905349999999999,0.0274000000000001,0.00180000000000291,0.908800000000014,-0.00345000000001505,FALSE
"C3","28112018",15.8541666666642,"0900",24.66,183.4297,183.4021,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0287000000000148,0.934050000000013,0.0276000000000067,0.00110000000000809,0.93640000000002,-0.00235000000000696,FALSE
"C3","01122018",18.909722222219,"1020",20,183.403,183.3803,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0217999999999847,0.955849999999998,0.0226999999999862,-0.000900000000001455,0.959100000000007,-0.00325000000000841,FALSE
"C3","05122018",22.8611111111095,"0910",21,183.3748,183.3516,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.0287000000000148,0.984550000000013,0.0232000000000028,0.00550000000001205,0.982300000000009,0.00225000000000364,FALSE
"C3","09122018",27.1458333333285,"1600",20,183.3503,183.3284,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.0232000000000028,1.00775000000002,0.0219000000000165,0.00129999999998631,1.00420000000003,0.00354999999998995,FALSE
"I1","12112018",0,"1230",0,183.26605,183.26605,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
"I1","13112018",0.840277777773736,"0840",27,183.2651,183.2308,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.0352500000000191,0.0352500000000191,0.0343000000000018,0.000950000000017326,0.0343000000000018,0.000950000000017326,FALSE
"I1","14112018",1.84375,"0845",17.5,183.2325,183.2104,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.0203999999999951,0.0556500000000142,0.0220999999999947,-0.00169999999999959,0.0563999999999965,-0.000749999999982265,FALSE
"I1","15112018",2.85069444444525,"0855",14,183.2068,183.19,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.0203999999999951,0.0760500000000093,0.0167999999999893,0.00360000000000582,0.0731999999999857,0.00285000000002356,FALSE
"I1","16112018",3.80902777777374,"0755",11,183.1913,183.1779,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.0121000000000038,0.0881500000000131,0.0134000000000185,-0.00130000000001473,0.0866000000000042,0.00155000000000882,FALSE
"I1","17112018",4.86111111110949,"0910",8.5,183.1775,183.1666,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.0113000000000056,0.0994500000000187,0.0109000000000208,0.000399999999984857,0.097500000000025,0.00194999999999368,FALSE
"I1","18112018",5.85902777777665,"0907",7.8,183.1691,183.16,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.00659999999999172,0.10605000000001,0.00909999999998945,-0.00249999999999773,0.106600000000014,-0.000550000000004047,FALSE
"I1","19112018",6.8395833333343,"0839",7.5,183.156,183.1473,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.0126999999999953,0.118750000000006,0.00870000000000459,0.00399999999999068,0.115300000000019,0.00344999999998663,FALSE
"I1","21112018",8.91666666666424,"1030",12.8,183.1523,183.1375,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.00980000000001269,0.128550000000018,0.0148000000000081,-0.00499999999999545,0.130100000000027,-0.00155000000000882,FALSE
