"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"C2","23112018",10.878472222219,"0935",28.5,184.6502,184.6189,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,20,30,1013.25,1500,0.0271999999999935,0.872900000000016,0.0313000000000159,-0.00410000000002242,0.876700000000028,-0.00380000000001246,21.8719850169638,701.913813283551,0.599777596737811,"",13.1412781660637,421.728739380882,11.1489056369656,6.69856302978116
"C2","25112018",13.125,"1530",24.5,184.6164,184.5895,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,20,30,1013.25,1500,0.0294000000000096,0.902300000000025,0.0269000000000119,0.00249999999999773,0.90360000000004,-0.00130000000001473,23.6410426286434,725.554855912195,0.599777596737811,"",14.2041756647976,435.93291504568,10.5233698254239,6.32272425264558
"C2","28112018",15.8541666666642,"0900",22.5,184.5876,184.561,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,20,30,1013.25,1500,0.0284999999999798,0.930800000000005,0.026600000000002,0.00189999999997781,0.930200000000042,0.000599999999963075,22.9173372420285,748.472193154223,0.599777596737811,"",13.7693539607588,449.702269006439,8.3971922718883,5.04525946653759
"C2","01122018",18.909722222219,"1020",19,184.5637,184.5419,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,20,30,1013.25,1500,0.0191000000000088,0.949900000000014,0.0218000000000131,-0.00270000000000437,0.952000000000055,-0.00210000000004129,15.3586365376581,763.830829691881,0.599777596737811,"",9.22788282985269,458.930151836291,5.02646286686992,3.02003438067906
"C2","05122018",22.8611111111095,"0910",21,184.5362,184.5128,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,20,30,1013.25,1500,0.0290999999999997,0.979000000000013,0.0234000000000094,0.00569999999999027,0.975400000000064,0.00359999999994898,23.3998074997718,787.230637191653,0.599777596737811,"",14.0592350967847,472.989386933076,5.92191964844839,3.55804895243759
"C2","09122018",27.1458333333285,"1600",19.5,184.5112,184.4892,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,20,30,1013.25,1500,0.0235999999999876,1.0026,0.0219999999999914,0.00159999999999627,0.997400000000056,0.00519999999994525,18.9771634705955,806.207800662249,0.599777596737811,"",11.4019913499638,484.39137828304,4.42903004824272,2.6610806392136
"C3","12112018",0,"1230",0,184.33615,184.33615,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,20,30,1013.25,1500,0,0,0,0,0,0,0,0,0.606073937324675,"",0,0,NA,NA
"C3","13112018",0.840277777773736,"0840",140.5,184.336,184.1658,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,20,30,1013.25,1500,0.170350000000013,0.170350000000013,0.170200000000023,0.000149999999990769,0.170200000000023,0.000149999999990769,137.859662526891,137.859662526891,0.606073937324675,"",83.6970276259197,83.6970276259197,164.064391767539,99.6063799845656
"C3","14112018",1.84375,"0845",174,184.1666,183.9647,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,20,30,1013.25,1500,0.201099999999997,0.37145000000001,0.201899999999995,-0.000799999999998136,0.372100000000017,-0.000650000000007367,162.744808536279,300.60447106317,0.606073937324675,"",98.8052377785199,182.50226540444,162.181677710894,98.463351142608
"C3","15112018",2.85069444444525,"0855",166.5,183.9604,183.7807,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,20,30,1013.25,1500,0.183999999999997,0.555450000000008,0.179699999999997,0.00430000000000064,0.551800000000014,0.00364999999999327,148.906239535929,449.510710599099,0.606073937324675,"",90.4035989619478,272.905864366387,147.879299952923,89.7801258656585
"C3","16112018",3.80902777777374,"0755",99.75,183.7837,183.6758,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,20,30,1013.25,1500,0.104899999999986,0.660349999999994,0.107900000000001,-0.00300000000001432,0.659700000000015,0.000649999999978945,84.892741996289,534.403452595388,0.606073937324675,"",51.5398778864523,324.44574225284,88.5837307787364,53.7807421423851
"C3","17112018",4.86111111110949,"0910",61,183.6749,183.6079,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,20,30,1013.25,1500,0.0679000000000087,0.728250000000003,0.0670000000000073,0.000900000000001455,0.726700000000022,0.0015499999999804,54.9496394809295,589.353092076317,0.606073937324675,"",33.3608933125931,357.806635565433,52.2293602987053,31.7093639406826
"C3","18112018",5.85902777777665,"0907",38.75,183.6102,183.5665,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,20,30,1013.25,1500,0.0414000000000101,0.769650000000013,0.0437000000000012,-0.00229999999999109,0.770400000000024,-0.000750000000010687,33.5039038955927,622.85699597191,0.606073937324675,"",20.3408097664435,378.147445331876,33.5738494152077,20.3832749225321
"C3","19112018",6.8395833333343,"0839",29,183.5632,183.5308,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,20,30,1013.25,1500,0.0356999999999914,0.805350000000004,0.0323999999999955,0.00329999999999586,0.802800000000019,0.00254999999998518,28.8910475621275,651.748043534038,0.606073937324675,"",17.5402634942435,395.68770882612,29.4639578537278,17.8880874162257
"C3","21112018",8.91666666666424,"1030",42,183.5341,183.4878,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,20,30,1013.25,1500,0.0430000000000064,0.848350000000011,0.0463000000000022,-0.00329999999999586,0.849100000000021,-0.000750000000010687,34.7987407611195,686.546784295157,0.606073937324675,"",21.1269280182847,416.814636844405,16.7536565349422,10.1714397680809
"C3","23112018",10.878472222219,"0935",29.8,183.4923,183.46,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,20,30,1013.25,1500,0.0277999999999849,0.876149999999996,0.0322999999999922,-0.00450000000000728,0.881400000000014,-0.00525000000001796,22.4977905385687,709.044574833726,0.606073937324675,"",13.6588046257653,430.47344147017,11.4679003099253,6.96236412782375
"C3","25112018",13.125,"1530",25,183.4582,183.4308,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,20,30,1013.25,1500,0.029200000000003,0.905349999999999,0.0274000000000001,0.00180000000000291,0.908800000000014,-0.00345000000001505,23.630772795922,732.675347629648,0.606073937324675,"",14.3466580961369,444.820099566307,10.5187984006577,6.38614765330358
"C3","28112018",15.8541666666642,"0900",24.66,183.4297,183.4021,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,20,30,1013.25,1500,0.0287000000000148,0.934050000000013,0.0276000000000067,0.00110000000000809,0.93640000000002,-0.00235000000000696,23.2261362754535,755.901483905101,0.606073937324675,"",14.1009961424417,458.921095708748,8.51034000932646,5.16677721249773
"C3","01122018",18.909722222219,"1020",20,183.403,183.3803,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,20,30,1013.25,1500,0.0217999999999847,0.955849999999998,0.0226999999999862,-0.000900000000001455,0.959100000000007,-0.00325000000000841,17.6421522928317,773.543636197933,0.606073937324675,"",10.7108611813538,469.631956890102,5.77379529583582,3.50537275026126
"C3","05122018",22.8611111111095,"0910",21,183.3748,183.3516,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,20,30,1013.25,1500,0.0287000000000148,0.984550000000013,0.0232000000000028,0.00550000000001205,0.982300000000009,0.00225000000000364,23.2261362754535,796.769772473386,0.606073937324675,"",14.1009961424417,483.732953032544,5.87796770415694,3.56861765292023
"C3","09122018",27.1458333333285,"1600",20,183.3503,183.3284,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,20,30,1013.25,1500,0.0232000000000028,1.00775000000002,0.0219000000000165,0.00129999999998631,1.00420000000003,0.00354999999998995,18.7751345501849,815.544907023571,0.606073937324675,"",11.3987146517254,495.131667684269,4.38187905223116,2.66031589926816
"I1","12112018",0,"1230",0,183.26605,183.26605,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,20,30,1013.25,1500,0,0,0,0,0,0,0,0,0.544731172951666,"",0,0,NA,NA
"I1","13112018",0.840277777773736,"0840",27,183.2651,183.2308,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,20,30,1013.25,1500,0.0352500000000191,0.0352500000000191,0.0343000000000018,0.000950000000017326,0.0343000000000018,0.000950000000017326,26.8492283379079,26.8492283379079,0.544731172951666,"",14.6547267787247,14.6547267787247,31.9528006666012,17.4403360011269
"I1","14112018",1.84375,"0845",17.5,183.2325,183.2104,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,20,30,1013.25,1500,0.0203999999999951,0.0556500000000142,0.0220999999999947,-0.00169999999999959,0.0563999999999965,-0.000749999999982265,15.5382768253303,42.3875051632382,0.544731172951666,"",8.48103336980852,23.1357601485332,15.4845111615748,8.45168723358081
"I1","15112018",2.85069444444525,"0855",14,183.2068,183.19,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,20,30,1013.25,1500,0.0203999999999951,0.0760500000000093,0.0167999999999893,0.00360000000000582,0.0731999999999857,0.00285000000002356,15.5382768253303,57.9257819885685,0.544731172951666,"",8.48103336980852,31.6167935183418,15.4311162955004,8.42254348449949
"I1","16112018",3.80902777777374,"0755",11,183.1913,183.1779,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,20,30,1013.25,1500,0.0121000000000038,0.0881500000000131,0.0134000000000185,-0.00130000000001473,0.0866000000000042,0.00155000000000882,9.21633086208826,67.1421128506568,0.544731172951666,"",5.03041685170293,36.6472103700447,9.61704089957036,5.24913062786393
"I1","17112018",4.86111111110949,"0910",8.5,183.1775,183.1666,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,20,30,1013.25,1500,0.0113000000000056,0.0994500000000187,0.0109000000000208,0.000399999999984857,0.097500000000025,0.00194999999999368,8.6069866728609,75.7490995235177,0.544731172951666,"",4.69782730778957,41.3450376778343,8.18089822370937,4.46526159948315
