"id","exper","vol.hs","descrip","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","conc.sub.vs","conc.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","date","time","order","mass.init","pres","vol","mass.final","notes","xCH4.oa","date.time","ctime","xCH4","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"19112016","1904",85,1033.2,0.554,338,1032.8,"",0.5489,2016-11-19 19:04:00,4.2,0.5554,27,1.01,0.5,3.60000000000014,388.076461204293,215.956661907141,2827.22977648308,1677.27265126417,352.796782912994,196.324238097401
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"21112016","0926",97,1032.8,0.467,297,1032.5,"",0.5649,2016-11-21 09:26:00,5.8,0.5722,27,1.01,0.299999999999955,3.90000000000009,236.679989095158,135.681589560035,3063.90976557824,1812.95424082421,147.924993184474,84.8009934750218
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"24112016","1119",118,1032.4,0.415,256,1032.1,"",0.5803,2016-11-24 11:19:00,8.85,0.5832,27,1.01,0.400000000000091,4.30000000000018,319.01233625178,186.387007609274,3382.92210183002,1999.34124843348,104.594208607141,61.1104942981226
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"29112016","0947",135,1032.2,0.393,235,1031.9,"",0.5937,2016-11-29 09:47:00,13.8,0.5968,27,1.01,0.199999999999818,4.5,161.684387951703,96.6633235688479,3544.60648978172,2096.00457200233,32.6635127175157,19.5279441553228
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"07122016","1246",158,1031.9,0.399,248,1031.6,"Last volume was taken after disconnecting other syringes",0.6027,2016-12-07 12:46:00,21.9,0.6028,27,1.01,0.300000000000182,4.80000000000018,243.996465342135,147.336452665934,3788.60295512385,2243.34102466826,30.1230204126092,18.1896855143128
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"16122016","1135",176,1031.6,0.285,173,1031.4,"",0.6017,2016-12-16 11:35:00,30.85,0.6051,27,1.01,0.199999999999818,5,163.04308999161,98.8276832609358,3951.64604511546,2342.1687079292,18.2171050269955,11.0421992470319
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"15112016","1440",16,1052.6,NA,NA,1052.6,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"16112016","1433",23,1052.6,1.343,918,1051.6,"",0.6583,2016-11-16 14:33:00,1,0.6642,27,1.01,1,1,795.441014074309,529.107271144258,795.441014074309,529.107271144258,795.441014074309,529.107271144258
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"17112016","2235",43,1051.6,2.157,NA,1049.9,"",0.5632,2016-11-17 22:35:00,2.3,0.5697,27,1.01,1.69999999999982,2.69999999999982,1337.90847418288,763.640405697811,2133.34948825719,1292.74767684207,1029.16036475606,587.415696690624
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"18112016","1632",62,1049.9,0.773,500,1049.4,"",0.5303,2016-11-18 16:32:00,3.1,0.5368,27,1.01,0.5,3.19999999999982,381.237814753338,205.062963147481,2514.58730301053,1497.81063998955,476.547268441673,256.328703934351
