"id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A1",0,NA,0,0,0,0,NA,NA
"A1",0.874305555555556,0.4615,170.112941451711,78.6920449485774,170.112941451711,78.6920449485774,194.569210238652,90.0051983526223
"A1",2.01388888888889,0.5443,182.727703009745,99.6568685585863,352.840644461455,178.348913507164,160.346064798314,87.4502685706059
"A1",2.85,0.5829,142.310461062761,83.1040316999317,495.151105524216,261.452945207095,170.20520259998,99.3935262856326
"A1",4.15138888888889,0.6854,228.894733580609,157.100129666287,724.045839104825,418.553074873382,175.884960702282,120.71728213418
"A1",5.14513888888889,0.727,221.485436610068,161.211970714213,945.531275714893,579.765045587595,222.878426777427,162.225882479711
"A1",5.93194444444444,0.7242,137.980221663495,100.045687421881,1083.51149737839,679.810733009476,175.367625062165,127.154271745374
"A1",7.13194444444444,0.720420850708924,100.745248599245,72.6676359098009,1184.25674597763,752.478368919277,83.9543738327041,60.5563632581674
"A1",9.11111111111111,0.714187878787879,100.027425162002,71.5275874367703,1284.28417113964,824.005956356047,50.5401727134327,36.1402547048945
"A1",15.2194444444444,0.694950959132611,142.363456704215,99.0674992847266,1426.64762784385,923.073455640774,23.3064322025999,16.218417345385
"A1",20.9194444444444,0.677,95.9478319242709,65.0483701252062,1522.59545976812,988.12182576598,16.8329529691703,11.4119947588081
"A1",30.96875,0.677,113.392892274179,76.8753465116348,1635.9883520423,1064.99717227761,11.2836545418297,7.64981680441947
"A1",50.8645833333333,0.677,130.837952624087,88.7023228980635,1766.82630466639,1153.69949517568,6.57614840414259,4.45833664827963
"A1",60.9166666666667,0.677,95.9478319243205,65.0483701252398,1862.77413659071,1218.74786530092,9.5450692898806,6.47113319380624
"A2",0,NA,0,0,0,0,NA,NA
"A2",0.874305555555556,0.4637,163.169041246342,75.8389742220715,163.169041246342,75.8389742220715,186.627020964839,86.7419562190492
"A2",2.01388888888889,0.5483,168.145094997538,92.376044118968,331.31413624388,168.215018341039,147.549626323251,81.0612452963521
"A2",2.85,0.5829,166.028871239865,96.9547036499072,497.343007483745,265.169721990947,198.572736366616,115.959113999889
"A2",4.15138888888889,0.6897,212.298004358623,146.620474301716,709.641011842368,411.790196292663,163.131871011962,112.664612056815
"A2",5.14513888888889,0.7333,195.226467728454,143.326378864137,904.867479570822,555.1165751568,196.454307148129,144.227802630578
"A2",5.93194444444444,0.723,128.603094621433,93.0925673079255,1033.47057419225,648.209142464725,163.449652475607,118.317119967708
"A2",7.13194444444444,0.7193329441201,82.3248170619822,59.2915732507291,1115.79539125424,707.500715715454,68.6040142183185,49.4096443756076
"A2",9.11111111111111,0.713284848484849,90.8402467973348,64.8761441536556,1206.63563805157,772.37685986911,45.8982299607586,32.7795254671102
"A2",15.2194444444444,0.694618515429525,133.416120071279,92.7969730709229,1340.05175812285,865.173832940033,21.8416567647387,15.1918646227977
"A2",20.9194444444444,0.6772,95.9688855553297,65.0818075398441,1436.02064367818,930.255640479877,16.8366465886543,11.4178609719025
"A2",30.96875,0.6772,113.417773838099,76.9148634561672,1549.43841751628,1007.17050393604,11.2861304904196,7.65374911041951
"A2",50.8645833333333,0.6772,139.591106262253,94.6644473306518,1689.02952377853,1101.8349512667,7.01609748752683,4.75800363546731
"A2",60.9166666666667,0.6772,95.9688855553297,65.0818075398441,1784.99840933386,1166.91675880654,9.54716374436441,6.47445961018139
"A3",0,NA,0,0,0,0,NA,NA
"A3",0.874305555555556,0.4597,163.051770356404,75.132045638141,163.051770356404,75.132045638141,186.492890637984,85.9333961230524
"A3",2.01388888888889,0.5577,169.679763886815,94.8134080068741,332.731534243219,169.945453645015,148.89631931567,83.2000655270559
"A3",2.85,0.6059,153.734647403974,93.3082950715722,486.466181647193,263.253748716587,183.8686812805,111.597960882943
"A3",4.15138888888889,0.699,241.331517487867,168.912602312062,727.79769913506,432.166351028649,185.441507568052,129.794102096782
"A3",5.14513888888889,0.7355,186.409168328548,137.262378017521,914.206867463608,569.42872904617,187.581553035017,138.125663413858
"A3",5.93194444444444,0.732,148.518366543303,108.842738152166,1062.72523400691,678.271467198336,188.761207257154,138.334989354915
"A3",7.13194444444444,0.727332110091743,64.6248161470301,47.0596998007433,1127.35005015394,725.331166999079,53.8540134558584,39.2164165006194
"A3",9.11111111111111,0.719633333333333,73.2029002328694,52.7437784556639,1200.55295038681,778.074945454743,36.986728538713,26.6494880618091
"A3",15.2194444444444,0.69587247706422,151.417276139038,105.507141675848,1351.97022652585,883.582087130591,24.788640022762,17.2726562088701
"A3",20.9194444444444,0.6737,95.6017705898931,64.4987548919948,1447.57199711574,948.080842022586,16.7722404543672,11.3155710336833
"A3",30.96875,0.6737,112.983910697128,76.2258012359817,1560.55590781287,1024.30664325857,11.2429570453918,7.58518096743927
"A3",50.8645833333333,0.6737,121.674980750746,82.0893244079752,1682.23088856362,1106.39596766654,6.11560112673907,4.12595557233802
"A3",60.9166666666667,0.6737,95.6017705898931,64.4987548919948,1777.83265915351,1170.89472255854,9.51064246282875,6.41645644521399
"B1",0,NA,0,0,0,0,NA,NA
"B1",0.874305555555556,0.4095,177.042895663363,72.6863693298043,177.042895663363,72.6863693298043,202.495448574458,83.1361174224926
"B1",2.01388888888889,0.5184,185.729754520269,96.4850822566929,362.772650183632,169.171451586497,162.980406160382,84.6669826018512
"B1",2.85,0.5786,149.576588497388,86.704458443677,512.349238681019,255.875910030174,178.895587571626,103.699684517355
"B1",4.15138888888889,0.6838,246.066177884537,168.492548556775,758.415416565556,424.368458586949,189.079667104447,129.471328666892
