"id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"C1-2",20.9194444444444,0.6998,69.1951538284482,48.4862875192082,1511.921282241,1001.99092671176
"C1-2",30.96875,0.6998,49.1155542722159,34.4161513393277,1561.03683651322,1036.40707805109
"C1-2",50.8645833333333,0.6998,70.5787854149755,49.4558230316423,1631.61562192819,1085.86290108273
"C1-2",60.9166666666667,0.6998,33.9369681021714,23.7802432958184,1665.55259003036,1109.64314437855
"C1-3",0,0,-8.33262434259626,0,-8.33262434259626,0
"C1-3",0.874305555555556,0.4681,122.374546854336,57.416798361599,114.041922511739,57.416798361599
"C1-3",2.01388888888889,0.5489,132.223599351692,72.7206878361032,246.265521863431,130.137486197702
"C1-3",2.85,0.5917,106.399531333445,63.06897732969,352.665053196876,193.206463527392
"C1-3",4.15138888888889,0.6807,182.966297647254,124.718940682176,535.63135084413,317.925404209568
"C1-3",5.14513888888889,0.7167,167.758827271765,120.381577827743,703.390178115895,438.306982037311
"C1-3",5.93194444444444,0.7271,138.587969441633,100.887459839768,841.978147557528,539.194441877079
"C1-3",7.13194444444444,0.725202418682235,142.844167618587,103.715309655679,984.822315176115,642.909751532758
"C1-3",8.19375,0.723523366694468,74.4485469488664,53.9303309148816,1059.27086212498,696.840082447639
"C1-3",9.11111111111111,0.722072727272727,58.2839853469036,42.1363810379753,1117.55484747188,738.976463485615
"C1-3",11.9569444444444,0.717572560467056,58.9584184205626,42.3591500906661,1176.51326589245,781.335613576281
"C1-3",20.9194444444444,0.7034,64.7610390513445,45.6119516872803,1241.27430494379,826.947565263561
"C1-3",30.96875,0.7034,45.1214532671542,31.7795634015324,1286.39575821095,858.727128665094
"C1-3",50.8645833333333,0.7034,38.7977576528159,27.3257111614905,1325.19351586376,886.052839826584
"C1-3",60.9166666666667,0.7034,32.1861509946243,22.6690798305812,1357.37966685839,908.721919657165
"C2-1",0,0,-8.4408133638895,0,-8.4408133638895,0
"C2-1",0.874305555555556,0.4892,144.863307356741,71.0254507789858,136.422493992851,71.0254507789858
"C2-1",2.01388888888889,0.4903,168.946960305209,83.0193522081265,305.369454298061,154.044802987112
"C2-1",2.85,0.5168,111.215007976241,57.5973675720494,416.584462274301,211.642170559162
"C2-1",4.15138888888889,0.6334,160.074712950834,101.553788901469,576.659175225135,313.19595946063
"C2-1",5.14513888888889,0.6889,156.771505543579,108.14671059128,733.430680768714,421.34267005191
"C2-1",5.93194444444444,0.7098,129.845961725135,92.2815288663836,863.276642493849,513.624198918294
"C2-1",7.13194444444444,0.709407673060884,190.950725870638,135.633908967547,1054.22736836449,649.258107885841
"C2-1",8.19375,0.709060527291261,153.604401457397,109.053274759331,1207.83176982188,758.311382645172
"C2-1",9.11111111111111,0.708760606060606,70.0285312775798,49.6966254391747,1277.86030109946,808.008008084347
"C2-1",11.9569444444444,0.707830191826522,79.0936196491063,56.0563235001975,1356.95392074857,864.064331584544
"C2-1",20.9194444444444,0.7049,35.0542160958182,24.741578685807,1392.00813684439,888.805910270352
"C2-1",30.96875,0.7049,13.5622699997733,9.57237125030392,1405.57040684416,898.378281520655
"C2-1",50.8645833333333,0.7049,16.9904648202871,11.9920217616768,1422.56087166445,910.370303282332
"C2-1",60.9166666666667,0.7049,11.4607499525517,8.08909963852381,1434.021621617,918.459402920856
"C2-2",0,0,-8.31851273112318,0,-8.31851273112318,0
"C2-2",0.874305555555556,0.4764,144.965565555397,69.2197576883769,136.647052824274,69.2197576883769
"C2-2",2.01388888888889,0.4766,170.868928629479,81.6225619361039,307.515981453753,150.842319624481
"C2-2",2.85,0.5092,103.90347299527,53.0212089563719,411.419454449023,203.863528580853
"C2-2",4.15138888888889,0.6179,156.584440062214,96.9151256587642,568.003894511237,300.778654239617
"C2-2",5.14513888888889,0.6762,128.889692381176,87.2785367829535,696.893586892413,388.05719102257
"C2-2",5.93194444444444,0.7098,103.09304397996,73.2682294278733,799.986630872373,461.325420450444
"C2-2",7.13194444444444,0.71038448707256,171.698216247501,122.126098147273,971.684847119874,583.451518597717
"C2-2",8.19375,0.710901663423223,93.6743796462001,66.6773919380416,1065.35922676607,650.128910535759
"C2-2",9.11111111111111,0.711348484848485,90.86303222206,64.7168002718664,1156.22225898813,714.845710807625
"C2-2",11.9569444444444,0.712734612176814,67.179301045343,47.9411117032235,1223.40156003348,762.786822510848
"C2-2",20.9194444444444,0.7171,54.5555465155265,39.1701396134286,1277.957106549,801.956962124277
"C2-2",30.96875,0.7171,25.1450299709395,18.0537891645029,1303.10213651994,820.01075128878
"C2-2",50.8645833333333,0.7171,26.3876074017717,18.9459428418992,1329.48974392171,838.956694130679
"C2-2",60.9166666666667,0.7171,3.73692556297985,2.68306167522769,1333.22666948469,841.639755805907
"C2-3",0,0,-8.36790337127889,0,-8.36790337127889,0
"C2-3",0.874305555555556,0.4856,142.66303053956,69.4330296207272,134.295127168281,69.4330296207272
"C2-3",2.01388888888889,0.4916,174.770797914007,86.1083641289425,309.065925082288,155.54139374967
"C2-3",2.85,0.5303,105.127490871363,55.8636129536381,414.193415953651,211.405006703308
"C2-3",4.15138888888889,0.6387,160.823754236792,102.88034028951,575.017170190444,314.285346992818
"C2-3",5.14513888888889,0.6865,153.503009536677,105.524181301158,728.520179727121,419.809528293976
"C2-3",5.93194444444444,0.7071,126.99147026093,89.9105906718944,855.51164998805,509.72011896587
"C2-3",7.13194444444444,0.707564386989158,162.747277085209,115.301319692863,1018.25892707326,625.021438658733
"C2-3",8.19375,0.70797529422667,154.748907754508,109.698198690692,1173.00783482777,734.719637349425
"C2-3",9.11111111111111,0.708330303030303,63.4014286660588,44.9663869618981,1236.40926349383,779.686024311323
"C2-3",11.9569444444444,0.709431609674729,90.377661306785,64.1981734465615,1326.78692480061,843.884197757885
"C2-3",20.9194444444444,0.7129,67.7666977814109,48.3714820725672,1394.55362258202,892.255679830452
"C2-3",30.96875,0.7129,48.566769362631,34.6666827580232,1443.12039194465,926.922362588475
"C2-3",50.8645833333333,0.7129,42.0344716339246,30.0039659248081,1485.15486357858,956.926328513283
"C2-3",60.9166666666667,0.7129,17.5394358158755,12.5195491724741,1502.69429939445,969.445877685757
"C3-1",0,0,-8.5405354182989,0,-8.5405354182989,0
"C3-1",0.874305555555556,0.3948,155.614611065985,61.5993336606503,147.074075647686,61.5993336606503
"C3-1",2.01388888888889,0.5645,166.639289596444,94.246992676638,313.713365244131,155.846326337288
"C3-1",2.85,0.5908,133.396458860674,78.9516118758075,447.109824104805,234.797938213096
"C3-1",4.15138888888889,0.6809,230.132104349488,156.915457012178,677.241928454293,391.713395225274
"C3-1",5.14513888888889,0.716,175.798409499109,126.027852926215,853.040337953403,517.741248151489
"C3-1",5.93194444444444,0.7375,110.853529743379,81.8482369295518,963.893867696782,599.589485081041
"C3-1",7.13194444444444,0.73240775646372,67.5534091745487,49.5344843212956,1031.44727687133,649.123969402336
"C3-1",8.19375,0.727901946066166,42.166203419008,30.7293496856592,1073.61348029034,679.853319087996
"C3-1",11.9569444444444,0.711932693911593,42.2807931411117,30.1389664197883,1115.89427343145,709.992285507784
"C3-1",20.9194444444444,0.6739,32.9349133520234,22.2264677583564,1148.82918678347,732.21875326614
"C3-1",30.96875,0.6739,56.9152450849599,38.4098432662824,1205.74443186843,770.628596532423
"C3-1",50.8645833333333,0.6739,55.5098362451267,37.4613885388634,1261.25426811356,808.089985071286
"C3-1",60.9166666666667,0.6739,27.7593985561047,18.7337179364621,1289.01366666966,826.823703007748
"C3-2",0,0,-8.50196368027264,0,-8.50196368027264,0
"C3-2",0.874305555555556,0.4862,138.03863895727,67.2652058381853,129.536675276997,67.2652058381853
"C3-2",2.01388888888889,0.5553,172.829638848122,96.1589062501671,302.366314125119,163.424112088352
"C3-2",2.85,0.6023,134.978305363167,81.4387716480781,437.344619488287,244.86288373643
"C3-2",4.15138888888889,0.7035,222.637101964801,156.828119794647,659.981721453088,401.691003531077
"C3-2",5.14513888888889,0.7086,190.475328753829,135.142670190668,850.457050206917,536.833673721745
"C3-2",5.93194444444444,0.7311,145.084923222245,106.196203117639,995.541973429162,643.029876839385
"C3-2",7.13194444444444,0.726336030025021,83.9928602797224,61.0799847046734,1079.53483370888,704.109861544058
"C3-2",8.19375,0.722120688536744,47.1107361782157,34.0609406647481,1126.6455698871,738.170802208806
"C3-2",11.9569444444444,0.707180900750625,61.2300102155857,43.3560954282459,1187.87558010269,781.526897637052
"C3-2",20.9194444444444,0.6716,40.8406846181607,27.4679681161607,1228.71626472085,808.994865753213
"C3-2",30.96875,0.6716,39.726800215131,26.7188097327113,1268.44306493598,835.713675485924
"C3-2",50.8645833333333,0.6716,21.1147503785179,14.2010178232889,1289.55781531449,849.914693309213
"C3-2",60.9166666666667,0.6716,10.7346796906161,7.21975750984167,1300.29249500511,857.134450819055
"C3-3",0,0,-8.62191237779345,0,-8.62191237779345,0
"C3-3",0.874305555555556,0.4329,150.741761045297,65.4180021006281,142.119848667504,65.4180021006281
"C3-3",2.01388888888889,0.565,169.113695724056,95.7309631473606,311.23354439156,161.148965247989
"C3-3",2.85,0.5868,135.637052474588,79.7355981656271,446.870596866148,240.884563413616
