"descrip","elapsed.time","mean.vol","sd.vol","mean.grav","sd.grav","mean.man","sd.man","mean.gd03","sd.gd03","mean.gd06","sd.gd06"
"Cellulose",0,0,0,0,0,0,0,0,0,0,0
"Cellulose",0.874305555555556,0.086693221330189,1.38382613418058,1.20239636958158,0.769647722983017,-0.243373052705912,1.43510111359837,7.79855020085617,11.5376390096622,7.79855020085617,11.5376390096622
"Cellulose",2.01388888888889,13.3455855583615,5.01669629235312,12.6009822759967,5.78023494098388,12.3314520281056,4.97008132758257,19.7420666901112,21.1912641113594,19.7420666901112,21.1912641113594
"Cellulose",2.85,60.3089608533692,8.55471649396281,54.8335035262503,8.14018035001138,56.8607563761706,8.82895772998797,53.7968491079255,44.5190006019749,53.7968491079255,44.5190006019749
"Cellulose",4.15138888888889,153.793950891839,15.2683518840346,156.648981711854,11.1035082035625,144.182284406244,15.2486932192985,124.175556535948,88.8437541105664,124.175556535948,88.8437541105664
"Cellulose",5.14513888888889,239.446300691534,22.6802056237039,243.345968380227,12.067321234689,221.699092663466,22.5392624958827,176.536855967859,121.277376608346,176.536855967859,121.277376608346
"Cellulose",5.93194444444444,285.668465337579,23.4136509116076,289.103588169263,13.407454113585,262.533183527118,23.1286665556631,203.708665891783,138.531068362057,203.708665891783,138.531068362057
"Cellulose",9.11111111111111,338.822491855301,36.5460006918186,334.457456961636,10.540511162105,309.855769092768,35.164643571215,230.609639483257,156.00676949975,230.609639483257,156.00676949975
"Cellulose",20.9194444444444,356.738245519567,59.4690652124164,371.893628166832,13.6480195508291,324.694680207602,55.5696551029051,256.44051160847,177.170017533323,256.44051160847,177.170017533323
"Cellulose",60.9166666666667,359.934694702643,88.819840213696,397.942485532182,19.7660749964489,323.805440976992,83.7991106585936,290.061484091484,215.856177497376,290.061484091484,215.856177497376
"Ethanol",0,0,0,0,0,0,0,0,0,0,0
"Ethanol",0.874305555555556,39.1610130567297,1.77316926981361,25.8331157713813,4.01267168014913,36.8432753163385,2.26092285347929,57.9467292105666,20.8807451030454,57.9467292105666,20.8807451030454
"Ethanol",2.01388888888889,94.8392671814546,12.2385211664628,90.2668002676925,5.13431057245817,88.559217286484,12.0803969833215,121.651189588253,32.4558539766113,121.651189588253,32.4558539766113
"Ethanol",2.85,159.791796632934,16.1355743979577,157.673642946331,4.930655042032,146.980202621296,14.5509665523187,173.53896357718,44.4283060589846,173.53896357718,44.4283060589846
"Ethanol",4.15138888888889,341.074440571182,15.210777109927,350.737263381264,15.5540452405701,314.125730962104,11.8598791863324,303.64615947832,72.0645580217123,303.64615947832,72.0645580217123
"Ethanol",5.14513888888889,536.303756197304,14.533684564061,549.650485757305,22.8521029411862,492.242557297202,8.18846812560108,442.495390919703,99.1615442141459,442.495390919703,99.1615442141459
"Ethanol",5.93194444444444,653.820348355702,19.0575117368036,654.6864685403,16.7137629591266,593.082398748947,7.48979859396327,515.908900019493,114.135717286203,515.908900019493,114.135717286203
"Ethanol",9.11111111111111,698.588954766362,23.8550968419201,691.025391525235,7.26747034692001,629.851455217585,14.423542450075,546.64422300557,119.948909801637,546.64422300557,119.948909801637
"Ethanol",20.9194444444444,708.978457367329,20.6816718415338,740.267337967802,21.4583530840087,637.375318303329,21.0608477964249,605.197889691801,138.99151965807,605.197889691801,138.99151965807
"Ethanol",60.9166666666667,711.276402130298,55.5855279565749,741.7241449871,21.7657602085102,633.812873705497,51.2564415642231,658.094120247108,151.751223081382,658.094120247108,151.751223081382
"Preheated sludge",0,0,0,0,0,0,0,0,0,0,0
"Preheated sludge",0.874305555555556,20.4404065985468,0.29275999525987,18.3814082993811,0.206887086779129,18.7129307643119,0.192028737743833,32.8746206658365,4.7288629594848,32.8746206658365,4.7288629594848
"Preheated sludge",2.01388888888889,49.1398779731293,1.13671847252452,46.279599652055,0.681390468286736,44.6158077922247,1.23111592604281,67.5913242427946,9.49000810603961,67.5913242427946,9.49000810603961
"Preheated sludge",2.85,75.1324680502582,2.27148011206505,73.4380516129355,2.81498812631236,67.1455517295171,2.56876238663839,97.0630803809589,10.8426407956338,97.0630803809589,10.8426407956338
"Preheated sludge",4.15138888888889,123.917407847642,5.0662528705273,121.778148230437,5.44602386239653,110.768825765347,4.88358413819604,137.106185055123,17.3786861570303,137.106185055123,17.3786861570303
"Preheated sludge",5.14513888888889,168.85444097898,6.38400036379951,166.598008707343,3.07463276049867,149.77707719341,6.42683090442111,170.934966512962,21.7408875861112,170.934966512962,21.7408875861112
"Preheated sludge",5.93194444444444,200.696416290416,6.76937699440833,197.187165390026,5.82168746620614,177.126489321848,6.02229741931458,194.43319808837,25.5449052298853,194.43319808837,25.5449052298853
"Preheated sludge",7.13194444444444,220.836933555001,2.71965247245954,214.703389880642,3.07804322501156,194.170517321094,2.49981594572959,208.244707029691,27.1954692773827,208.244707029691,27.1954692773827
"Preheated sludge",9.11111111111111,239.255181639271,4.14846183878776,232.649162517698,2.19110398229193,209.890146541707,3.1682179734876,222.915249739388,28.7365480856093,222.915249739388,28.7365480856093
"Preheated sludge",15.2194444444444,264.473290481907,5.56180991784434,258.453001930608,3.92136934664738,232.184756193276,3.84864982758133,246.822811458196,32.7058950490812,246.822811458196,32.7058950490812
"Preheated sludge",20.9194444444444,280.645437462359,5.94191893961412,273.925800768885,4.67292725926389,245.768638505142,4.16130495752627,262.869623241454,34.7334718489776,262.869623241454,34.7334718489776
"Preheated sludge",30.96875,296.680226224855,10.6329189837387,293.228277089912,2.69862155810218,256.742465293643,8.06147896223682,281.723206168931,37.2168096926436,281.723206168931,37.2168096926436
"Preheated sludge",50.8645833333333,313.802677045192,15.4468792864985,315.625626550401,1.43367614824955,272.06550908764,12.1237544078547,303.821945562153,38.7579279179319,303.821945562153,38.7579279179319
"Preheated sludge",60.9166666666667,321.734518785792,17.0183137822659,322.3660849264,1.98950784315838,278.905884544128,13.5628052214707,317.74732352377,41.2865335996156,317.74732352377,41.2865335996156
"Raw sludge",0,0,0,0,0,0,0,0,0,0,0
"Raw sludge",0.874305555555556,18.1470749096353,0.191850371024637,17.1409920993432,0.199903548266618,16.8564707406066,0.242284388534597,27.0824951813445,7.64047072087373,27.0824951813445,7.64047072087373
"Raw sludge",2.01388888888889,47.4015232192842,0.815140655493113,45.5239714912942,0.603041203419047,43.5172704813661,0.531787968955488,57.0546188989029,14.9514009139181,57.0546188989029,14.9514009139181
"Raw sludge",2.85,73.736040812883,1.02394411325595,71.9241831448853,1.04897509393369,67.380258540057,0.496574298892604,80.3338536289938,21.485678511811,80.3338536289938,21.485678511811
"Raw sludge",4.15138888888889,122.45720961447,1.45711447729906,122.71937248289,0.78948825806509,111.512988416108,0.694009688435081,113.622561061431,29.1102560581108,113.622561061431,29.1102560581108
"Raw sludge",5.14513888888889,166.7419315794,1.67250725376302,162.859320284634,3.15169836871692,150.86290307531,1.23387980095487,137.438124554735,32.8100249850126,137.438124554735,32.8100249850126
"Raw sludge",5.93194444444444,188.121446423757,2.55291391117552,188.537110943882,3.30825087793169,169.292470660495,2.44065160986902,153.689050420892,39.1119595296607,153.689050420892,39.1119595296607
"Raw sludge",7.13194444444444,203.830717246555,3.18954748815864,202.362365072421,2.08315488476665,182.869784041192,3.3345680572112,162.592198353074,42.0226123808675,162.592198353074,42.0226123808675
"Raw sludge",9.11111111111111,221.325919520769,4.56325217326099,218.03314269658,1.61410850145162,198.169511538216,4.43987090325596,172.749362324828,43.7573661184762,172.749362324828,43.7573661184762
"Raw sludge",15.2194444444444,245.047017853373,8.7798283069288,246.937194416652,3.02777715256917,219.113580484973,7.80080817278631,193.308450585829,49.4880541955144,193.308450585829,49.4880541955144
"Raw sludge",20.9194444444444,262.01243592909,11.3948048776819,265.736512170888,4.96342776340655,233.764817070325,9.76240508755873,207.617775776038,52.5577916121285,207.617775776038,52.5577916121285
"Raw sludge",30.96875,274.978069454442,17.1614116086283,286.583393548482,1.61452938595757,242.145103486163,14.7055570828373,223.16907867829,58.2514496171877,223.16907867829,58.2514496171877
"Raw sludge",50.8645833333333,285.030443784052,27.7833247509421,311.791561510323,2.75885827883761,251.0746473311,24.8593845642157,241.609526261697,60.3520586692642,241.609526261697,60.3520586692642
"Raw sludge",60.9166666666667,293.413432024862,29.495105649042,321.810624895839,2.04054234874624,258.496243147696,26.3505251237838,254.29753446055,67.2637382167037,254.29753446055,67.2637382167037
"Sludge C1",0,0,0,0,0,0,0,0,0,0,0
"Sludge C1",0.874305555555556,17.4092373880994,0.910582717089697,15.2643876504871,0.501435196917682,15.1125030133532,0.976317812166144,20.2628119800813,5.87161526137197,20.2628119800813,5.87161526137197
"Sludge C1",2.01388888888889,45.4292297414056,2.29400444635434,45.1505526219283,1.44268708562283,38.6395634561373,3.67817849108065,46.9127381658656,11.4856939112292,46.9127381658656,11.4856939112292
"Sludge C1",2.85,67.179882932766,3.30957064818338,68.4163393601747,3.42112213148535,57.4228690848975,4.89112874791454,65.9750061514996,16.6340014245314,65.9750061514996,16.6340014245314
"Sludge C1",4.15138888888889,111.724601501923,6.36501396431296,113.320025076397,8.17566643617921,95.7594682238691,8.29927209752282,94.5190498436735,24.7242220133848,94.5190498436735,24.7242220133848
"Sludge C1",5.14513888888889,156.51352341863,6.67368283843225,160.564617354336,8.54084936203106,133.669221246662,10.6174391138742,121.71222910105,29.3798495008183,121.71222910105,29.3798495008183
"Sludge C1",5.93194444444444,193.984787490134,9.59261043994288,198.411612876255,12.533282941994,165.874838594413,14.0506325196835,143.223510014905,35.1679621248516,143.223510014905,35.1679621248516
