id,elapsed.time,descrip,mass.leak,vBg,perc,,mass.leak,perc
C1-3,5.931944444,Sludge C1,0.01,169.9224567,0.005885037,,,
C1-3,50.86458333,Sludge C1,0.09,125.2060208,0.071881527,,,
C1-3,60.91666667,Sludge C1,0.05,80.48958477,0.062119838,,,
C1-3,7.131944444,Sludge C1,0.09,241.4687543,0.037271903,,,
C1-3,8.19375,Sludge C1,0.02,98.37615916,0.020330129,,,
C1-3,9.111111111,Sludge C1,0.01,80.48958477,0.012423968,,,
C2-1,0,Sludge C2,0,0,NA,,,
C2-1,0.874305556,Sludge C2,0.005,171.1534244,0.002921356,,,
C2-1,11.95694444,Sludge C2,0.03,105.3251842,0.028483216,,,
C2-1,2.013888889,Sludge C2,0.02,263.3129606,0.007595524,,,
C2-1,2.85,Sludge C2,0,157.9877763,0,,,
C2-1,20.91944444,Sludge C2,0.19,193.0961711,0.098396565,,,
C2-1,30.96875,Sludge C2,0.09,78.99388817,0.113932865,,,
C2-1,4.151388889,Sludge C2,0,193.0961711,0,,,
C2-1,5.145138889,Sludge C2,-0.02,157.9877763,-0.012659207,,,
C2-1,5.931944444,Sludge C2,0.01,157.9877763,0.006329604,,,
C2-1,50.86458333,Sludge C2,0.16,157.9877763,0.101273658,,,
C2-1,60.91666667,Sludge C2,0.09,114.1022829,0.078876599,,,
C2-1,7.131944444,Sludge C2,-0.01,193.0961711,-0.005178767,,,
C2-1,8.19375,Sludge C2,0.01,175.5419737,0.005696643,,,
C2-1,9.111111111,Sludge C2,0.01,78.99388817,0.012659207,,,
C2-2,0,Sludge C2,0,0,NA,,,
C2-2,0.874305556,Sludge C2,0.02,199.4971493,0.010025206,,,
C2-2,11.95694444,Sludge C2,0.06,116.3733371,0.051558202,,,
C2-2,2.013888889,Sludge C2,-0.01,224.4342929,-0.004455647,,,
C2-2,2.85,Sludge C2,0,132.9980995,0,,,
C2-2,20.91944444,Sludge C2,0.13,224.4342929,0.057923412,,,
C2-2,30.96875,Sludge C2,0.07,66.49904976,0.105264662,,,
C2-2,4.151388889,Sludge C2,0.01,191.1847681,0.005230542,,,
C2-2,5.145138889,Sludge C2,0,141.3104807,0,,,
C2-2,5.931944444,Sludge C2,0.05,149.622862,0.033417353,,,
C2-2,50.86458333,Sludge C2,0.16,157.9352432,0.101307344,,,
C2-2,60.91666667,Sludge C2,0.16,149.622862,0.10693553,,,
C2-2,7.131944444,Sludge C2,-0.01,166.2476244,-0.006015124,,,
C2-2,8.19375,Sludge C2,0.12,191.1847681,0.062766507,,,
C2-2,9.111111111,Sludge C2,0.07,141.3104807,0.049536312,,,
C2-3,0,Sludge C2,0,0,NA,,,
C2-3,0.874305556,Sludge C2,0.005,195.4618432,0.002558044,,,
C2-3,11.95694444,Sludge C2,0.04,124.7628786,0.032060818,,,
C2-3,2.013888889,Sludge C2,-0.04,207.938131,-0.019236491,,,
C2-3,2.85,Sludge C2,0,141.3979291,0,,,
C2-3,20.91944444,Sludge C2,0.12,166.3505048,0.072136841,,,
C2-3,30.96875,Sludge C2,0.02,66.54020193,0.030057017,,,
C2-3,4.151388889,Sludge C2,-0.02,174.6680301,-0.011450292,,,
C2-3,5.145138889,Sludge C2,0,166.3505048,0,,,
C2-3,5.931944444,Sludge C2,0.01,141.3979291,0.007072239,,,
C2-3,50.86458333,Sludge C2,0.14,158.0329796,0.088589104,,,
C2-3,60.91666667,Sludge C2,0.07,99.8103029,0.07013304,,,
C2-3,7.131944444,Sludge C2,0.02,182.9855553,0.010929824,,,
C2-3,8.19375,Sludge C2,0.01,166.3505048,0.006011403,,,
C2-3,9.111111111,Sludge C2,0,74.85772717,0,,,
