"id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"A1",0,0,0,0,0,0
"A1",0.874305555555556,0.4615,170.208159830077,78.7360917380011,170.208159830077,78.7360917380011
"A1",2.01388888888889,0.5443,182.951016715751,99.7786604066765,353.159176545828,178.514752144678
"A1",2.85,0.5829,150.183670438303,87.7016939985363,503.342846984132,266.216446143214
"A1",4.15138888888889,0.6854,233.922444258448,160.550859995716,737.26529124258,426.767306138929
"A1",5.14513888888889,0.727,209.346934550362,152.376753968071,946.612225792942,579.144060107001
"A1",5.93194444444444,0.7242,155.644894817878,112.853859111322,1102.25712061082,691.997919218322
"A1",7.13194444444444,0.720420850708924,112.865303844543,81.4098423564344,1215.12242445536,773.407761574756
"A1",9.11111111111111,0.714187878787879,92.8408144527694,66.3885875570258,1307.96323890813,839.796349131782
"A1",15.2194444444444,0.694950959132611,143.812241995466,100.07567609588,1451.7754809036,939.872025227662
"A1",20.9194444444444,0.677,93.7510185160318,63.5590281691739,1545.52649941963,1003.43105339684
"A1",30.96875,0.677,108.314283528231,73.4322752634145,1653.84078294786,1076.86332866025
"A1",50.8645833333333,0.677,122.87754854043,83.3055223576551,1776.71833148829,1160.16885101791
"A1",60.9166666666667,0.677,58.2530600487965,39.4929883769624,1834.97139153709,1199.66183939487
"A2",0,0,0,0,0,0
"A2",0.874305555555556,0.4637,158.375507007665,73.6109981502456,158.375507007665,73.6109981502456
"A2",2.01388888888889,0.5483,183.861220779014,101.010215270913,342.236727786679,174.621213421159
"A2",2.85,0.5829,153.824486691353,89.827795671228,496.061214478032,264.449009092387
"A2",4.15138888888889,0.6897,232.102036131923,160.297835709139,728.163250609956,424.746844801526
"A2",5.14513888888889,0.7333,194.783669538163,143.001296604951,922.946920148119,567.748141406478
"A2",5.93194444444444,0.723,136.530609489367,98.8310972678783,1059.47752963749,666.579238674356
"A2",7.13194444444444,0.7193329441201,94.6612225792942,68.1764383191774,1154.13875221678,734.755676993533
"A2",9.11111111111111,0.713284848484849,77.3673453773078,55.254088671533,1231.50609759409,790.009765665066
"A2",15.2194444444444,0.694618515429525,118.326528224118,82.3014763682448,1349.83262581821,872.311242033311
"A2",20.9194444444444,0.6772,87.3795900731947,59.2569313600653,1437.2122158914,931.568173393376
"A2",30.96875,0.6772,64.6244884916336,43.8254388183816,1501.83670438303,975.393612211758
"A2",50.8645833333333,0.6772,70.9959169344707,48.146256730053,1572.8326213175,1023.53986894181
