"exper","id","date","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","time.d"
"IIS-BMP2","C1","27.09.2018","15.35",20.8,1007.24,468.52,0,468.515,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","C2","27.09.2018","15.35",20.8,1007.24,471.9,0,471.9,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","C3","27.09.2018","15.35",20.8,1007.24,468.3,0,468.3,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","D1","27.09.2018","15.35",20.8,1007.24,471.15,0,471.15,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","D2","27.09.2018","15.35",20.8,1007.24,472.1,0,472.1,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","D3","27.09.2018","15.35",20.8,1007.24,472.51,0,472.51,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","L1","27.09.2018","15.35",20.8,1007.24,467.76,0,467.76,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","L2","27.09.2018","15.35",20.8,1007.24,468.51,0,468.505,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","L3","27.09.2018","15.35",20.8,1007.24,470.55,0,470.55,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","I1","27.09.2018","15.35",20.8,1007.24,729.5,0,729.495,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","I2","27.09.2018","15.35",20.8,1007.24,722.09,0,722.085,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","I3","27.09.2018","15.35",20.8,1007.24,740.54,0,740.535,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
"IIS-BMP2","I4","27.09.2018","15.35",20.8,1007.24,723.78,0,723.775,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0
