"date","exper","id","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","time.d","mass.drift","mass.init.orig","mass.final.orig","temp.grav","pres.grav","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"05.10.2018","IIS-BMP2","I3","11.09",20.1,1009.23,740.13,102,740.03,NA,2014-10-05 11:09:00,7.81527777777956,2018-10-05 11:09:00,2018-09-27 15:35:00,7.81527777777778,0.0200000000000387,740.11,740.01,30,1500,0.100000000000136,0.504999999999995,0.100000000000136,0,0.534999999999968,-0.0249999999999773,92.4186002563322,450.192983406161,0.595013514260165,"",54.9903161215257,267.870909151768,43.4626990101628,25.8608932772688
"06.10.2018","IIS-BMP2","I3","21.20",20.4,1001.38,740.03,70,739.97,NA,2014-10-06 21:20:00,9.23958333333576,2018-10-06 21:20:00,2018-09-27 15:35:00,9.23958333333333,0.0200000000000387,740.01,739.95,30,1500,0.0599999999999454,0.564999999999941,0.0599999999999454,0,0.594999999999914,-0.0249999999999773,62.8267499525783,513.01973335874,0.595013514260165,"",37.3827652788283,305.253674430597,44.1104436527122,26.2463100933753
"08.10.2018","IIS-BMP2","I3","11.43",20.4,1007.72,739.96,56,739.9,NA,2014-10-08 11:43:00,10.8388888888876,2018-10-08 11:43:00,2018-09-27 15:35:00,10.8388888888889,0.0300000000000296,739.93,739.87,30,1500,0.0699999999999363,0.634999999999877,0.0599999999999454,0.00999999999999091,0.654999999999859,-0.0149999999999864,50.5874113721795,563.607144730919,0.595013514260165,"",30.1001934178852,335.353867848482,31.6308607798257,18.8207896316781
"11.10.2018","IIS-BMP2","I3","12.13",20.5,1009.19,739.89,86,739.8,NA,2014-10-11 12:22:00,13.8659722222219,2018-10-11 12:13:00,2018-09-27 15:35:00,13.8597222222222,0.0200000000000387,739.87,739.78,30,1500,0.100000000000136,0.735000000000014,0.0900000000001455,0.00999999999999091,0.745000000000005,-0.00499999999999545,77.7656499342911,641.37279466521,0.595013514260165,"",46.2716126561284,381.62548050461,25.743111702386,15.3174993620287
"15.10.2018","IIS-BMP2","I3","21.22",20.1,1006.09,739.79,105,739.68,NA,2014-10-15 21:22:00,18.2409722222219,2018-10-15 21:22:00,2018-09-27 15:35:00,18.2409722222222,0.0300000000000296,739.76,739.65,30,1500,0.119999999999891,0.854999999999905,0.1099999999999,0.00999999999999091,0.854999999999905,0.00499999999999545,94.8337408222981,736.206535487508,0.595013514260165,"",56.4273573971133,438.052837901724,21.6453616712806,12.879282715461
"19.10.2018","IIS-BMP2","I3","10.48",20.5,1017.29,739.69,86,739.6,NA,2014-10-19 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,21.8006944444444,0.0200000000000387,739.67,739.58,30,1500,0.0799999999999272,0.934999999999832,0.0899999999999181,-0.00999999999999091,0.944999999999823,-0.00499999999999545,78.4050766424657,814.611612129974,0.595013514260165,"",46.6520801888711,484.704918090595,22.025616536315,13.1055394990196
"25.10.2018","IIS-BMP2","I3","14.08",20.6,997.15,739.53,56,739.46,NA,2014-10-25 14:08:00,27.9395833333328,2018-10-25 14:08:00,2018-09-27 15:35:00,27.9395833333333,0.0200000000000387,739.51,739.44,30,1500,0.1400000000001,1.07499999999993,0.0699999999999363,0.0700000000001637,1.01499999999976,0.0650000000001683,49.9944791776748,864.606091307649,0.595013514260165,"",29.747390749115,514.45230883971,8.14389706061671,4.84572880981058
"29.10.2018","IIS-BMP2","I3","09.46",20,1010.42,739.45,56,739.39,NA,2014-10-29 09:46:00,31.757638888892,2018-10-29 09:46:00,2018-09-27 15:35:00,31.7576388888889,0.0300000000000296,739.42,739.36,30,1500,0.0699999999999363,1.14499999999987,0.0599999999999454,0.00999999999999091,1.0749999999997,0.0750000000001592,50.8257061509684,915.431797458617,0.595013514260165,"",30.2419820316422,544.694290871352,13.3119346775909,7.92078103411511
"27.09.2018","IIS-BMP2","I4","15.35",20.8,1007.24,723.78,0,723.775,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,723.78,723.775,30,1500,0,0,0.00499999999999545,0,0.00499999999999545,0,0,0,0.615588436727259,"",0,0,NA,NA
"28.09.2018","IIS-BMP2","I4","09.00",20.3,1011.22,723.77,79,723.69,"Difficult to mix. Sludge level near shoulder of bottle.",2014-09-28 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.725694444444444,0.0100000000000477,723.76,723.68,30,1500,0.0849999999999227,0.0849999999999227,0.0799999999999272,0.00499999999999545,0.0849999999999227,0.00499999999999545,71.6534239873315,71.6534239873315,0.615588436727259,"",44.1090192585169,44.1090192585169,98.7377325758443,60.7818064423582
"29.09.2018","IIS-BMP2","I4","06.05",19,1000,723.7,62,723.63,"Pressure not measured.",2014-09-29 06:05:00,1.60416666666424,2018-09-29 06:05:00,2018-09-27 15:35:00,1.60416666666667,0.0300000000000296,723.67,723.6,30,1500,0.0599999999999454,0.144999999999868,0.0699999999999363,-0.00999999999999091,0.154999999999859,-0.00499999999999545,55.948723271026,127.602147258358,0.615588436727259,"",34.4413870952969,78.5504063538138,63.6886652255158,39.206005863421
"30.09.2018","IIS-BMP2","I4","15.02",20.3,1002.34,723.65,91,723.55,"Easy to mix. No floating layer.",2014-09-30 15:02:00,2.97708333333139,2018-09-30 15:02:00,2018-09-27 15:35:00,2.97708333333333,0.0300000000000296,723.62,723.52,30,1500,0.0800000000001546,0.225000000000023,0.100000000000136,-0.0199999999999818,0.254999999999995,-0.0249999999999773,81.795224842559,209.397372100917,0.615588436727259,"",50.3521945925855,128.902600946399,59.5777054998912,36.6753465924751
"01.10.2018","IIS-BMP2","I4","08.50",20.3,1000.62,723.55,50,723.5,NA,2014-10-01 08:50:00,3.71875,2018-10-01 08:50:00,2018-09-27 15:35:00,3.71875,0.0200000000000387,723.53,723.48,30,1500,0.0499999999999545,0.274999999999977,0.0499999999999545,0,0.30499999999995,-0.0249999999999773,44.8634357548907,254.260807855807,0.615588436727259,"",27.617412282567,156.520013228966,60.4900257369313,37.2369603809892
"03.10.2018","IIS-BMP2","I4","08.07",20,1002.27,723.49,102,723.38,NA,2014-10-03 08:07:00,5.68888888888614,2018-10-03 08:07:00,2018-09-27 15:35:00,5.68888888888889,0.0200000000000387,723.47,723.36,30,1500,0.119999999999891,0.394999999999868,0.1099999999999,0.00999999999999091,0.41499999999985,-0.0149999999999864,91.8110180734398,346.071825929247,0.615588436727259,"",56.5178010901669,213.037814319133,46.6012922191587,28.6872166266621
"05.10.2018","IIS-BMP2","I4","11.09",20.1,1009.23,723.38,97,723.29,NA,2014-10-05 11:09:00,7.81527777777956,2018-10-05 11:09:00,2018-09-27 15:35:00,7.81527777777778,0.0200000000000387,723.36,723.27,30,1500,0.0900000000001455,0.485000000000014,0.0900000000001455,0,0.504999999999995,-0.0149999999999864,87.8882767143551,433.960102643602,0.615588436727259,"",54.1030068692426,267.140821188376,41.3321745488803,25.4436087170834
"06.10.2018","IIS-BMP2","I4","21.20",20.4,1001.38,723.29,64,723.22,NA,2014-10-06 21:20:00,9.23958333333576,2018-10-06 21:20:00,2018-09-27 15:35:00,9.23958333333333,0.0200000000000387,723.27,723.2,30,1500,0.0699999999999363,0.55499999999995,0.0699999999999363,0,0.574999999999932,-0.0149999999999864,57.441599956643,491.401702600245,0.615588436727259,"",35.3603847204224,302.501205908798,40.3295484824797,24.8264037042459
"08.10.2018","IIS-BMP2","I4","11.43",20.4,1007.72,723.22,53,723.17,NA,2014-10-08 11:43:00,10.8388888888876,2018-10-08 11:43:00,2018-09-27 15:35:00,10.8388888888889,0.0300000000000296,723.19,723.14,30,1500,0.0499999999999545,0.604999999999905,0.0499999999999545,0,0.624999999999886,-0.0149999999999864,47.8773714772413,539.279074077486,0.615588436727259,"",29.4727562622852,331.973962171084,29.9363503809064,18.4284711323017
"11.10.2018","IIS-BMP2","I4","12.13",20.5,1009.19,723.16,79,723.08,NA,2014-10-11 12:23:00,13.8666666666686,2018-10-11 12:13:00,2018-09-27 15:35:00,13.8597222222222,0.0200000000000387,723.14,723.06,30,1500,0.0900000000001455,0.69500000000005,0.0800000000001546,0.00999999999999091,0.705000000000041,-0.00499999999999545,71.4358877303372,610.714961807824,0.615588436727259,"",43.9751064541422,375.949068625226,23.6477421452151,14.5572766193023
"15.10.2018","IIS-BMP2","I4","21.22",20.1,1006.09,723.05,101,722.95,NA,2014-10-15 21:22:00,18.2409722222219,2018-10-15 21:22:00,2018-09-27 15:35:00,18.2409722222222,0.0300000000000296,723.02,722.92,30,1500,0.129999999999882,0.824999999999932,0.0999999999999091,0.0299999999999727,0.80499999999995,0.0249999999999773,91.2210268862106,701.935988694034,0.615588436727259,"",56.1546093375376,432.103677962763,20.8207764647556,12.8170292353866
