"method","descrip","time.d","mean","se","sd","n"
"gdt.hc","Cellulose",0,0,0,0,3
"gdt.hc","Cellulose",0.725694444444444,7.63922677614825,0.192232483062271,0.332956427528977,3
"gdt.hc","Cellulose",1.60416666666667,16.1452040781043,0.239202975108794,0.414311706210064,3
"gdt.hc","Cellulose",2.97708333333333,105.105144903487,2.90894149525432,5.03843446602585,3
"gdt.hc","Cellulose",3.71875,194.548383107288,2.24689321308419,3.8917332042435,3
"gdt.hc","Cellulose",4.75694444444444,282.271467077957,4.85225192302855,8.40434686180924,3
"gdt.hc","Cellulose",5.68888888888889,317.02772842667,4.9532493420216,8.57927952293852,3
"gdt.hc","Cellulose",7.81527777777778,345.872742984263,5.54604121009499,9.6060251567553,3
"gdt.hc","Cellulose",10.8388888888889,356.387382100843,5.62658583216271,9.74553253445303,3
"gdt.hc","Cellulose",13.8597222222222,363.098670423317,5.67678256572344,9.83247582735421,3
"gdt.hc","Cellulose",18.2409722222222,365.762544010141,6.01815884327552,10.4237568845731,3
"gdt.hc","Cellulose",21.8006944444444,365.526357278416,6.18074227900931,10.7053596557332,3
"gdt.hc","Cellulose",27.9395833333333,365.351188367679,5.82342301458931,10.0864645352346,3
"gdt.hc","Cellulose",31.7576388888889,365.760549524428,6.048274676917,10.4759190385525,3
"gdt.hc","FIC",0,0,0,0,3
"gdt.hc","FIC",0.725694444444444,56.7322105008064,1.76837442369665,3.06291434864793,3
"gdt.hc","FIC",1.60416666666667,153.875900538481,3.45508528802482,5.98438326334273,3
"gdt.hc","FIC",2.97708333333333,282.418168339656,7.34933319008565,12.7294184869806,3
"gdt.hc","FIC",3.71875,333.11421636288,3.93237590130145,6.81107485551357,3
"gdt.hc","FIC",5.68888888888889,399.693975718135,2.58004337832583,4.46876621699199,3
"gdt.hc","FIC",7.81527777777778,433.769336264498,2.45465897299835,4.25159405648799,3
"gdt.hc","FIC",10.8388888888889,454.779152482999,4.51677766973176,7.82328841046797,3
"gdt.hc","FIC",13.8597222222222,468.837407623056,3.94850441754108,6.8390102650913,3
"gdt.hc","FIC",18.2409722222222,475.939511075599,4.16903547446535,7.220981260331,3
"gdt.hc","FIC",21.8006944444444,482.427587858285,4.80551195276756,8.32339085857294,3
"gdt.hc","FIC",27.9395833333333,486.865279019736,5.08389707861439,8.8055680406111,3
"gdt.hc","FIC",31.7576388888889,489.113559557846,5.15354275426498,8.9261978893654,3
"gdt.hc","WS",0,0,0,0,3
"gdt.hc","WS",0.725694444444444,15.5197558286762,0.278819081516015,0.482928815305427,3
"gdt.hc","WS",1.60416666666667,31.2276039068062,0.390003023565337,0.675505051920645,3
"gdt.hc","WS",2.97708333333333,64.8291307973796,1.97416155581348,3.41934811701816,3
"gdt.hc","WS",3.71875,85.6134690554354,1.55872003672948,2.69978229839108,3
"gdt.hc","WS",5.68888888888889,133.474774679508,1.73762918034537,3.00966202507245,3
"gdt.hc","WS",7.81527777777778,182.911855112233,1.81366102729597,3.14135304698418,3
"gdt.hc","WS",9.23958333333333,209.993314904997,2.69193628296363,4.66257041283111,3
"gdt.hc","WS",10.8388888888889,232.335882312378,2.83416556258455,4.90891875145848,3
"gdt.hc","WS",13.8597222222222,259.032570064729,3.49420857618653,6.05214678619798,3
"gdt.hc","WS",18.2409722222222,280.509822840056,3.60783031344519,6.24894540797421,3
"gdt.hc","WS",21.8006944444444,291.201237720325,4.07007813276982,7.0495821167324,3
"gdt.hc","WS",27.9395833333333,296.307375149672,4.21329424237841,7.29763969503682,3
"gdt.hc","WS",31.7576388888889,299.354797233453,4.22964002718238,7.32595142480689,3
"gdt","Cellulose",0,0,0,0,3
"gdt","Cellulose",0.725694444444444,8.43611433644257,0.196441311288558,0.340246331857236,3
"gdt","Cellulose",1.60416666666667,17.6921932940184,0.202597329739407,0.350908868586438,3
"gdt","Cellulose",2.97708333333333,111.262224501424,2.82024491195375,4.88480747729151,3
"gdt","Cellulose",3.71875,205.148735141294,1.81809703772369,3.1490364424279,3
"gdt","Cellulose",4.75694444444444,297.227633002577,4.24475248754771,7.35212697398702,3
"gdt","Cellulose",5.68888888888889,333.86724938521,4.25220612657078,7.36503705547624,3
"gdt","Cellulose",7.81527777777778,364.60436176222,4.80537625884899,8.32315582981171,3
"gdt","Cellulose",10.8388888888889,376.279114769157,4.85554338925289,8.41004784854119,3
"gdt","Cellulose",13.8597222222222,383.758420732714,4.88286373732626,8.45736807948474,3
"gdt","Cellulose",18.2409722222222,387.120325887278,5.18926402387043,8.98806894323289,3
"gdt","Cellulose",21.8006944444444,387.339851296708,5.27926163855411,9.14394938442505,3
"gdt","Cellulose",27.9395833333333,387.461171583968,4.90463167105217,8.49507124667381,3
"gdt","Cellulose",31.7576388888889,388.199713339736,5.11514827534564,8.85969670114697,3
"gdt","FIC",0,0,0,0,3
"gdt","FIC",0.725694444444444,56.7701702378468,1.73176129432459,2.99949854835143,3
"gdt","FIC",1.60416666666667,153.972625039823,3.36544314250015,5.82911851279453,3
"gdt","FIC",2.97708333333333,282.589755687655,7.14112282928992,12.3687875634202,3
"gdt","FIC",3.71875,333.324024250579,3.68144061764711,6.37644219481254,3
"gdt","FIC",5.68888888888889,399.953895158625,2.30909037729326,3.99946185274031,3
"gdt","FIC",7.81527777777778,434.058889562239,2.21209303491361,3.8314575275396,3
"gdt","FIC",10.8388888888889,455.089728365186,4.20713302276904,7.2869681496368,3
"gdt","FIC",13.8597222222222,469.164162084401,3.60834861686233,6.24984313582645,3
"gdt","FIC",18.2409722222222,476.280484582741,3.81262015593491,6.60365182004043,3
