"id","exper","date","time","time.d","pres","pres.resid","xCH4.man","vol.hs.man","temperature.man","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.man","vCH4.man","cvBg.man","cvCH4.man","rvBg.man","rvCH4.man","mass.final","xCH4.grav","vol.hs.grav","temperature.grav","pressure","massloss","cmassloss","vBg.grav","vCH4.grav","cvBg.grav","cvCH4.grav","rvBg.grav","rvCH4.grav","vBg.diff","vCH4.diff","cvBg.diff","cvCH4.diff","xCH4.grav2","objective","cvBg.grav2","cvCH4.grav2","vBg.grav2","vCH4.grav2","time.d.end"
"1","TSR1","28042016",1030,1.9,1.512,1.003,0.418909825033647,491.343333333333,35,0.663359788359788,1.013,1,20,-1300.70469155983,-637.068345590606,178.480605499295,74.9573568216158,NA,NA,488.64,0.418909825033647,491.343333333333,35,1.5,0.25,0.25,-1301.88572337644,-638.795745650587,193.285181154722,81.1749055400998,101.729042713011,42.7236344947894,1.18103181661468,1.72740005998139,-14.8045756554263,-6.21754871848401,0.481295821676974,0.00125957652443276,178.479345922771,86.0962478655307,178.479345922771,86.0962478655307,12.9
"1","TSR1","29042016",1600,3.1,1.697,1.005,0.436296814840742,491.343333333333,35,0.592221567472009,1.003,0.663359788359788,35,290.062205746203,126.865296857129,468.542811245499,201.822653678745,241.718504788503,105.721080714274,488.23,0.436296814840742,491.343333333333,35,1.5,0.409999999999968,0.659999999999968,281.318978112787,123.041247576565,474.604159267509,204.216153116665,234.432481760656,102.534372980471,8.74322763341593,3.82404928056468,-6.06134802201035,-2.39349943791933,0.475024179645725,0.000171864919991549,468.542639380579,223.080144631886,290.063293457808,136.983896766355,12.9
"1","TSR1","30042016",1320,4,1.389,1.005,0.441323648103309,491.343333333333,35,0.723542116630669,1.005,0.592221567472009,35,155.118715114944,68.6248645596818,623.661526360442,270.447518238427,172.354127905493,76.2498495107576,488.01,0.441323648103309,491.343333333333,35,1.5,0.220000000000027,0.879999999999995,151.610639124736,67.0728839394537,626.214798392245,271.289037056118,168.456265694151,74.525426599393,3.50807599020783,1.55198062022811,-2.55327203180252,-0.841518817691224,0.473125571418703,0.00298633244381108,623.664512692886,295.751626582604,155.121873312307,72.6714819507189,12.9
"1","TSR1","02052016",1100,5.9,1.665,1.008,0.50127154563436,491.343333333333,35,0.605405405405405,1.005,0.723542116630669,35,900.573622621763,409.558432735881,900.573622621763,409.558432735881,145.74320855859,73.2162707881337,487.63,0.50127154563436,491.343333333333,35,1.5,0.379999999999995,1.25999999999999,902.465853668296,410.067867772392,902.465853668296,410.067867772392,145.395292250553,73.0414898506702,-1.8922310465332,-0.509435036510467,-1.8922310465332,-0.509435036510467,0.482558695728591,0.0149038072056555,900.558718814557,435.555949434372,276.894206121671,139.804322851767,12.9
"1","TSR1","04052016",1430,8.1,1.662,1.007,0.515208177511842,491.343333333333,35,0.60589651022864,1.008,0.605405405405405,35,271.466015242089,140.15802578649,1172.03963786385,549.716458522371,123.393643291859,63.7081935393137,487.26,0.515208177511842,491.343333333333,35,1.5,0.370000000000005,1.63,272.457891451591,140.670131919644,1174.92374511989,550.737999692036,123.844496114359,63.9409690543836,-0.99187620950147,-0.51210613315402,-2.88410725603467,-1.02154116966449,0.489227307410203,0.00579801693334048,1172.04543588078,574.677561747511,271.486717066228,139.12161231314,12.9
"1","TSR1","09052016",1045,12.9,1.744,0.997,0.527353926311872,491.343333333333,35,0.571674311926605,1.007,0.60589651022864,35,307.145659195272,162.30924388985,1479.18529705912,712.025702412221,63.9886789990151,33.8144258103855,486.83,0.527353926311872,491.343333333333,35,1.5,0.430000000000007,2.06,320.247159411279,169.232651498651,1495.17090453116,719.970651190687,66.7181582106831,35.2568023955523,-13.1015002160063,-6.92340760880086,-15.985607472041,-7.94494877846535,0.487697194199004,3.18962445362558e-05,1479.18532895537,723.010919343895,307.139893074584,148.333357596384,12.9
"2","TSR1","28042016",1030,1.9,1.501,1.003,0.42188058634251,493.333333333333,35,0.668221185876083,1.013,1,20,-1270.98279267367,-632.378136706302,174.457285517661,73.7862933420241,NA,NA,485.23,0.42188058634251,493.333333333333,35,1.5,0.269999999999982,0.269999999999982,-1296.57371329662,-646.204705383305,206.380364304995,87.2880834724475,108.62124437105,45.9410965644461,25.5909206229508,13.8265686770038,-31.9230787873345,-13.5017901304234,0.364713925151041,0.000325101921504256,174.456960415739,63.8037669043158,174.456960415739,63.8037669043158,12.9
"2","TSR1","29042016",1600,3.1,1.672,1.005,0.434915773353752,493.333333333333,35,0.601076555023923,1.003,0.668221185876083,35,280.568682855106,122.325395423669,455.025968372767,196.111688765693,233.807235712588,101.937829519724,484.83,0.434915773353752,493.333333333333,35,1.5,0.400000000000034,0.670000000000016,274.130174848486,119.518264457256,480.510539153481,206.806347929704,228.441812373739,99.5985537143801,6.43850800661983,2.80713096641284,-25.4845707807147,-10.6946591640106,0.424369945298931,0.00256853241654653,455.02339984035,193.58453626182,280.566439424611,129.780769357504,12.9
"2","TSR1","30042016",1320,4,1.375,1.005,0.488510364775832,493.333333333333,35,0.730909090909091,1.005,0.601076555023923,35,149.922170888129,73.4023744453615,604.948139260895,269.514063211055,166.580189875698,81.5581938281794,484.61,0.488510364775832,493.333333333333,35,1.5,0.21999999999997,0.889999999999986,158.087524264975,77.4001575784061,638.598063418457,284.20650550811,175.652804738861,86.0001750871179,-8.16535337684667,-3.99778313304461,-33.6499241575614,-14.6924422970552,0.425344381239153,0.00950527079294261,604.938633990102,257.954128306169,149.915234149752,64.3695920443495,12.9
"2","TSR1","02052016",1100,5.9,1.665,1.008,0.512332268370607,493.333333333333,35,0.605405405405405,1.005,0.730909090909091,35,883.161307836775,412.355631691776,883.161307836775,412.355631691776,146.42798346099,75.17977288459,484.23,0.512332268370607,493.333333333333,35,1.5,0.379999999999995,1.26999999999998,917.675372097432,427.49174503555,917.675372097432,427.49174503555,146.882794041566,75.4132839618107,-34.5140642606564,-15.1361133437746,-34.5140642606564,-15.1361133437746,0.451704824183083,0.00732096209821975,883.168628798874,399.888341529117,278.229994808771,141.934213222948,12.9
"2","TSR1","04052016",1430,8.1,1.628,1.007,0.513049612038561,493.333333333333,35,0.618550368550368,1.008,0.605405405405405,35,257.895452024854,132.594925126445,1141.05675986163,544.95055681822,117.225205465842,60.2704205120203,483.88,0.513049612038561,493.333333333333,35,1.5,0.350000000000023,1.62,257.215547222966,132.245357402037,1174.8909193204,559.737102437587,116.916157828621,60.1115260918351,0.679904801887233,0.34956772440745,-33.8341594587691,-14.7865456193672,0.466191690202091,0.0114268942459148,1141.04533296738,533.187901460155,257.876704168509,133.299559931038,12.9
"2","TSR1","09052016",1045,12.9,1.734,0.997,0.52855130566692,493.333333333333,35,0.574971164936563,1.007,0.618550368550368,35,304.383318329699,161.213873230105,1445.44007819133,706.164430048326,63.4131913186873,33.5862235896053,483.44,0.52855130566692,493.333333333333,35,1.5,0.439999999999998,2.06,328.063158281215,173.755686418166,1502.95407760161,733.492788855753,68.3464913085865,36.1991013371178,-23.6798399515162,-12.5418131880601,-57.5139994102854,-27.3283588074273,0.461883123138331,0.00786944180072169,1445.43220874953,669.192193060327,304.386875782144,136.004291600171,12.9
"3","TSR1","28042016",1030,1.9,1.402,1.003,0.339497041420118,502.87,35,0.715406562054208,1.013,1,20,-1062.10999286545,-448.89524565269,134.288297764836,45.7222677295839,NA,NA,474.72,0.339497041420118,502.87,35,1.5,0.239999999999952,0.239999999999952,-1016.27183954631,-453.330334626942,201.917682147507,68.7486138118497,106.272464288162,36.1834809536051,-45.8381533191439,4.43508897425187,-67.6293843826717,-23.0263460822657,0.174895066788665,0.00185796008986472,134.286439804746,23.5709067210847,134.286439804746,23.5709067210847,12.9
