"id","exper","date","time","time.d","pres","pres.resid","xCH4.man","vol.hs.man","temperature.man","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.man","vCH4.man","cvBg.man","cvCH4.man","rvBg.man","rvCH4.man","mass.final","xCH4.grav","vol.hs.grav","temperature.grav","pressure","massloss","cmassloss","vBg.grav","vCH4.grav","cvBg.grav","cvCH4.grav","rvBg.grav","rvCH4.grav","vBg.diff","vCH4.diff","cvBg.diff","cvCH4.diff","xCH4.gd","objective","cvBg.gd","cvCH4.gd","vBg.gd","vCH4.gd","time.d.end"
"1","TSR1","09052016",1045,12.9,1.744,0.997,0.527353926311872,491.343333333333,35,0.571674311926605,1.007,0.60589651022864,35,307.145659195272,162.30924388985,1479.18529705912,712.025702412221,63.9886789990151,33.8144258103855,486.83,0.527353926311872,491.343333333333,35,1.5,0.430000000000007,2.06,320.247159411279,169.232651498651,1495.17090453116,719.970651190687,66.7181582106831,35.2568023955523,-13.1015002160063,-6.92340760880086,-15.985607472041,-7.94494877846535,0.487697194199004,3.18962445362558e-05,1479.18532895537,723.010919343895,307.139893074584,148.333357596384,12.9
"2","TSR1","09052016",1045,12.9,1.734,0.997,0.52855130566692,493.333333333333,35,0.574971164936563,1.007,0.618550368550368,35,304.383318329699,161.213873230105,1445.44007819133,706.164430048326,63.4131913186873,33.5862235896053,483.44,0.52855130566692,493.333333333333,35,1.5,0.439999999999998,2.06,328.063158281215,173.755686418166,1502.95407760161,733.492788855753,68.3464913085865,36.1991013371178,-23.6798399515162,-12.5418131880601,-57.5139994102854,-27.3283588074273,0.461883123138331,0.00786944180072169,1445.43220874953,669.192193060327,304.386875782144,136.004291600171,12.9
"3","TSR1","09052016",1045,12.9,1.663,0.997,0.524020858759569,502.87,35,0.599518941671678,1.007,0.629375,35,279.309615155248,146.668712542839,1196.39829063029,494.617513382274,58.1895031573434,30.5559817797581,473.25,0.524020858759569,502.87,35,1.5,0.379999999999995,1.70999999999998,282.127222535913,148.148270798446,1218.18952169382,522.078948438791,58.7765046949819,30.8642230830095,-2.81760738066487,-1.47955825560683,-21.7912310635279,-27.4614350565176,0.458618108520727,0.00264910975920429,1196.39564152053,549.988068080354,279.324579702819,143.67950860446,12.9
"4","TSR1","09052016",1045,12.9,1.653,0.997,0.528586100650462,502.423333333333,35,0.603145795523291,1.007,0.625854568054692,35,274.579925243759,145.438327046583,1203.34426115419,553.632274521931,57.2041510924497,30.2996514680381,472.34,0.528586100650462,502.423333333333,35,1.5,0.380000000000052,1.66000000000003,283.336529075616,150.076487723422,1227.57517793722,560.798938302018,59.02844355742,31.2659349423796,-8.75660383185709,-4.63816067683911,-24.2309167830267,-7.16666378008699,0.4981614601378,0.00980943177455629,1203.35407058596,600.780308654914,274.585054180836,136.122422763876,12.9
"5","TSR1","09052016",1045,12.9,1.783,0.997,0.532523148148148,502.42,35,0.559169938306226,1.007,0.685034013605442,35,333.171419582629,177.784175524898,1089.09884076987,489.527349860136,69.4107124130478,37.0383699010205,474.2,0.532523148148148,502.42,35,1.5,0.460000000000036,1.56999999999999,344.258852351939,183.700559637464,1155.02934296661,506.227482891375,71.7205942399873,38.2709499244716,-11.0874327693098,-5.9163841125652,-65.9305021967441,-16.7001330312385,0.448884927609034,0.00114671374126374,1089.09998748361,490.059162279411,333.165646646395,166.012648184149,12.9
"6","TSR1","09052016",1045,12.9,1.781,0.997,0.513371481957258,505.816666666667,35,0.559797866367209,1.007,0.751492537313433,35,336.199782330119,172.962682335012,1030.20535699658,437.825813072601,70.0416213187749,36.0338921531274,472.16,0.513371481957258,505.816666666667,35,1.5,0.45999999999998,1.5,338.155455121689,173.968805567618,1085.54308262535,453.811344274983,70.4490531503519,36.2435011599204,-1.95567279156978,-1.00612323260623,-55.337725628769,-15.9855312023823,0.437417525193737,0.00877046416098892,1030.21412746074,451.742762571966,336.228689263415,170.896613020482,12.9
"7","TSR1","09052016",1045,12.9,1.678,0.997,0.537146614069691,508.203333333333,35,0.594159713945173,1.007,0.751492537313433,35,292.005000996999,157.166949390233,914.583015521392,377.628796047653,60.834375207708,32.7431144562986,468.62,0.537146614069691,508.203333333333,35,1.5,0.389999999999986,1.31999999999999,293.148837010446,157.782600547653,969.685249763147,384.623827516915,61.0726743771762,32.8713751140944,-1.14383601344741,-0.615651157419904,-55.1022342417546,-6.99503146926213,0.447522498624732,0.00419503149385037,914.587210552886,410.287535354579,292.003386223343,155.956200439857,12.9
"8","TSR1","09052016",1045,12.9,1.758,0.997,0.531485243159278,507.263333333333,35,0.56712172923777,1.007,0.672678690714763,35,324.982202294593,173.077108537372,1036.68214772557,458.420475331936,67.7046254780401,36.0577309452858,470.01,0.531485243159278,507.263333333333,35,1.5,0.439999999999998,1.47000000000003,328.969319706462,175.20054406145,1094.14587876784,467.446242466807,68.5352749388462,36.5001133461353,-3.98711741186912,-2.12343552407771,-57.463731042267,-9.02576713487082,0.46758781028848,0.00479496217872111,1036.67735276339,485.866548280922,324.982505087874,168.843641843444,12.9
"9","TSR1","04052016",1430,8.1,1.091,1.007,0.218128809965545,502.826666666667,35,0.923006416131989,1.008,0.961832061068702,35,142.665138013642,21.8742590613671,142.665138013642,21.8742590613671,16.1605368578877,3.53714740157787,469.24,0.218128809965545,502.826666666667,35,1.5,0.0600000000000023,0.21999999999997,230.56990950819,28.305256106207,230.56990950819,28.305256106207,6.92590584622442,1.51591188355779,-87.9047714945476,-6.43099704483989,-87.9047714945476,-6.43099704483989,0.369136112468196,0.000989432442736415,142.664148581199,52.8078701326332,61.264695883149,50.0488403263608,8.1
"10","TSR1","04052016",1430,8.1,1.104,1.007,0.205204662510165,503.043333333333,35,0.91213768115942,1.008,0.958174904942966,35,167.328199116502,26.2509162866412,167.328199116502,26.2509162866412,18.7259772780119,3.85603208692053,470.95,0.205204662510165,503.043333333333,35,1.5,0.0600000000000023,0.230000000000018,232.923296303753,30.5959779271673,232.923296303753,30.5959779271673,6.86127989942023,1.41286700590914,-65.5950971872507,-4.34506164052612,-65.5950971872507,-4.34506164052612,0.502065012725529,0.00204613671195375,167.32615297979,84.1915494899825,72.4990117769548,67.9617493666112,8.1
