"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.inoc.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"man",0,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,0,0,0,3,NA,0,0,NA,0,0
"man",0.840277777777778,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,64.1976738732512,0.106824483906031,0.000482102641240257,3,0.781680602197725,75.0330597877234,10.8353859144722,0.144408157485869,0.0489004765313882,0
"man",1.84375,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,163.715988713144,0.212704607056943,0.000324250142989193,3,0.264036463426674,185.290972452597,21.5749837394536,0.116438396614131,0.0328892338501843,0
"man",2.85069444444444,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,276.448128083489,0.305900941306799,0.00156860947214828,3,0.888167029296499,307.476171744108,31.0280436606196,0.100912026725902,0.159106680026409,0
"man",3.80902777777778,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,340.574452269967,0.393685137544296,0.00230371093533004,3,1.01353696277008,380.506593649062,39.9321413790953,0.104944676506511,0.233669249847707,0
"man",4.86111111111111,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,377.325606814481,0.4690949821353,0.00438785411353551,3,1.62013804245971,424.90669474606,47.5810879315792,0.111980085322062,0.445067375175752,0
"man",5.85902777777778,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,399.617523249477,0.534555349285212,0.00644478709293413,3,2.08822130465112,453.838365610353,54.2208423608752,0.11947170285605,0.653705524568495,0
"man",6.83958333333333,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,414.994470334853,0.596088918954218,0.00961225622718329,3,2.79302560934378,475.456765494557,60.462295159704,0.12716675741655,0.974987211938587,0
"man",8.91666666666667,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,433.756731353254,0.702073468519426,0.0113245263706471,3,2.79381801551038,504.969216483646,71.212485130392,0.141023418469506,1.1486656339245,0
"man",10.8784722222222,"C1","C","Substrate C",80.024,0.9704,80.9944,79.0056,0.788944904,1.52093856865467,1.9278241310599,813.01,19.0060302990936,447.436782000997,0.795575678544647,0.0136203222712581,3,2.96528549395029,528.133352543592,80.696570542595,0.152795823543324,1.38153204857403,0
