"substrate","time.d","mean","se","sd","n","rate.crit.met"
"CEL",25,371.472173202438,1.82221886051843,3.15617564892818,3,TRUE
"SC",25,484.648029495619,3.78287521377407,6.55213206894967,3,TRUE
"SD",25,280.312072506734,1.12758923916918,1.95304185230895,3,TRUE
