"sub.isr","time.d","mean","se","sd","n","rate.crit.met"
"CEL-2",25,349.913197025924,4.46463606825717,7.73297650752598,3,TRUE
"SC-1",25,501.553795102167,5.02007433770037,8.69502381066972,3,TRUE
"SC-2",25,519.765319418045,2.33075460930847,3.29618477904764,2,TRUE
"SD-1",25,287.311265250966,4.14494638160557,7.17925772758962,3,TRUE
