"exper","id","date","inject.date.time","xCH4.oa","xCH4.GC"
2,"I1","19012017","06-02-2017 14:04:02",0.4877,0.4759
2,"L3","19012017","06-02-2017 14:21:29",0.52,0.5082
2,"A2","19012017","06-02-2017 14:38:54",0.5231,0.5113
2,"A3","19012017","06-02-2017 14:56:01",0.5319,0.5201
2,"L1","19012017","06-02-2017 15:13:06",0.4861,0.4743
2,"A1","19012017","06-02-2017 15:30:33",0.5135,0.5017
2,"L2","19012017","06-02-2017 15:48:05",0.4971,0.4853
2,"L1","20012017","02-02-2017 14:48:12",0.5111,0.5111
2,"L3","20012017","02-02-2017 15:05:01",0.5193,0.5193
2,"I3","20012017","02-02-2017 15:22:25",0.4926,0.4926
2,"L2","20012017","02-02-2017 15:40:03",0.5216,0.5216
2,"B3","20012017","02-02-2017 15:57:44",0.5415,0.5415
2,"A3","20012017","02-02-2017 16:15:39",0.5406,0.5406
2,"I2","20012017","02-02-2017 16:33:32",0.4848,0.4848
2,"I1","20012017","02-02-2017 16:52:11",0.5031,0.5031
2,"A2","20012017","02-02-2017 17:10:07",0.5455,0.5455
2,"B2","20012017","02-02-2017 17:28:08",0.5701,0.5701
2,"C1","20012017","02-02-2017 17:46:16",0.6494,0.6494
2,"C2","20012017","02-02-2017 18:04:21",0.6475,0.6475
2,"A1","20012017","02-02-2017 18:22:23",0.5491,0.5491
2,"C6","20012017","02-02-2017 18:40:34",0.6318,0.6318
2,"E3","20012017","02-02-2017 18:58:43",0.7506,0.7506
2,"B1","20012017","02-02-2017 19:16:52",0.5737,0.5737
2,"C5","20012017","02-02-2017 19:34:58",0.6368,0.6368
2,"C4","20012017","02-02-2017 19:53:12",0.6406,0.6406
2,"E2","20012017","02-02-2017 20:11:26",0.7405,0.7405
2,"E1","20012017","02-02-2017 20:29:36",0.7454,0.7454
2,"B2","22012017","10-02-2017 15:34:56",0.5836,0.5723
2,"B3","22012017","10-02-2017 15:51:44",0.5595,0.5481
2,"C6","22012017","10-02-2017 16:08:42",0.6494,0.6388
2,"E1","22012017","10-02-2017 16:25:47",0.7492,0.7404
2,"E2","22012017","10-02-2017 16:43:06",0.7496,0.7409
2,"C4","22012017","10-02-2017 17:00:22",0.6559,0.6454
2,"E3","22012017","10-02-2017 17:17:41",0.7508,0.7421
2,"C5","22012017","10-02-2017 17:35:06",0.6576,0.6471
2,"C1","22012017","10-02-2017 17:52:30",0.651,0.6404
2,"C2","22012017","10-02-2017 18:09:50",0.6513,0.6407
2,"I3","22012017","10-02-2017 18:27:27",0.5579,0.5464
2,"C3","22012017","10-02-2017 18:44:58",0.6494,0.6388
2,"B1","22012017","10-02-2017 19:02:36",0.5886,0.5773
2,"I2","22012017","10-02-2017 19:20:12",0.5545,0.543
2,"I1","22012017","10-02-2017 19:37:50",0.568,0.5566
2,"A3","22012017","10-02-2017 19:55:33",0.5569,0.5454
2,"L2","22012017","10-02-2017 20:13:10",0.5119,0.5003
2,"L3","22012017","10-02-2017 20:30:50",0.5079,0.4963
2,"L1","22012017","10-02-2017 20:48:37",0.5022,0.4906
2,"A1","22012017","10-02-2017 21:06:28",0.5605,0.5491
2,"A2","22012017","10-02-2017 21:24:12",0.5625,0.5511
2,"A1","24012017","03-02-2017 09:13:31",0.5753,0.565
2,"C5","24012017","03-02-2017 09:30:42",0.6512,0.6416
2,"C4","24012017","03-02-2017 09:48:12",0.6479,0.6382
2,"C1","24012017","03-02-2017 10:05:42",0.6447,0.635
2,"B1","24012017","03-02-2017 10:23:15",0.5958,0.5856
2,"B2","24012017","03-02-2017 10:41:02",0.5888,0.5785
2,"E2","24012017","03-02-2017 10:58:45",0.7427,0.7346
2,"C3","24012017","03-02-2017 11:16:30",0.6518,0.6422
2,"B3","24012017","03-02-2017 11:34:15",0.5647,0.5543
2,"C2","24012017","03-02-2017 11:52:03",0.6461,0.6364
