"descrip","elapsed.time","mean","sd"
"C",0,0,0
"C",0.840277777777778,70.5923757515008,3.37178420465293
"C",1.84375,177.018200572213,3.41756592599857
"C",2.85069444444444,293.687756112883,2.30161038974738
"C",3.80902777777778,362.707779345082,4.21027995738583
"C",4.86111111111111,400.99974796647,4.36578890811591
"C",5.85902777777778,423.281811869338,4.25741993101126
"C",6.83958333333333,438.802867131191,4.67027859822586
"C",8.91666666666667,458.825036854892,5.57031207922991
"C",10.8784722222222,474.74398607796,6.17618374737648
"C",13.125,482.951282013886,6.77526366663173
"C",15.8541666666667,491.193622937984,8.7897165349364
"C",18.9097222222222,498.007765149892,8.04796171135133
"C",22.8611111111111,505.178194698098,8.76510960052526
"C",27.1458333333333,510.302938976434,9.48832699855993
"L",0,0,0
"L",0.840277777777778,1.50288175925801,0.580561668038034
"L",1.84375,22.7638760241823,3.14385785464389
"L",2.85069444444444,111.061877079653,2.30977864919566
"L",3.80902777777778,203.662898658335,4.34268204398846
"L",4.86111111111111,261.059087156992,3.97920550765584
"L",5.85902777777778,287.111890415963,4.17857468606329
"L",6.83958333333333,303.990773265409,4.58976479821328
"L",8.91666666666667,325.408553084492,4.79690497832435
"L",10.8784722222222,339.455993378173,4.91411143662075
"L",13.125,345.463298908429,4.70416849505827
"L",15.8541666666667,351.364833621252,4.65152889647532
"L",18.9097222222222,355.57463875789,4.17056134370596
"L",22.8611111111111,360.867990368909,5.51143029246363
"L",27.1458333333333,364.855125847165,5.96915483222284
"C",0,0,0
"C",0.840277777777778,70.5923757515008,3.37178420465293
"C",1.84375,171.54255978761,4.75295210389611
"C",2.85069444444444,271.383010344539,5.17248586275628
"C",3.80902777777778,330.166024320435,5.95875375155102
"C",4.86111111111111,366.814106400357,6.36887779778855
"C",5.85902777777778,388.109509151877,6.78152221915295
"C",6.83958333333333,404.96524114105,7.06920970073005
"C",8.91666666666667,425.53684531304,7.46348758240387
"C",10.8784722222222,437.86270375101,7.86648131484181
"C",13.125,447.750276288836,7.95584772417019
"C",15.8541666666667,456.753259891685,8.13168652667702
"C",18.9097222222222,463.208752640138,9.12351269872551
"C",22.8611111111111,471.610325442637,9.19301627162615
"C",27.1458333333333,478.572040064769,9.06959547928421
"L",0,0,0
"L",0.840277777777778,1.50288175925801,0.580561668038034
"L",1.84375,20.1592133026847,0.784165881030005
"L",2.85069444444444,108.561199841306,1.65936748181328
"L",3.80902777777778,209.215525153113,5.26756726433536
"L",4.86111111111111,277.290046657085,7.49460530069848
"L",5.85902777777778,310.799111211795,8.44906768587834
"L",6.83958333333333,331.44201941584,9.02162747673438
"L",8.91666666666667,352.474049946497,9.24433360191913
"L",10.8784722222222,364.272490837257,9.09252926391467
"L",13.125,370.077656062796,9.39436535529487
"L",15.8541666666667,374.679719090525,9.43118422764458
"L",18.9097222222222,378.539709174639,9.90579186145755
"L",22.8611111111111,382.481969256988,10.3915279633889
"L",27.1458333333333,387.107507583169,10.3336591633215
"C",0,0,0
"C",0.840277777777778,86.0819989462916,2.20711477084173
"C",1.84375,199.943952620665,3.51862340580395
"C",2.85069444444444,303.572972416761,4.62247735871605
"C",3.80902777777778,362.395077358632,5.33168350839268
"C",4.86111111111111,398.621250760561,5.86975040319792
"C",5.85902777777778,419.690079939853,6.71367649429413
"C",6.83958333333333,436.050162760302,6.85179145510392
"C",8.91666666666667,456.526235519177,7.64464552468926
"C",10.8784722222222,468.892049860706,7.97927296978428
"C",13.125,479.081014841431,8.25331385394002
"C",15.8541666666667,488.315177638541,8.60092941164842
"C",18.9097222222222,495.013991745175,9.6762701343702
"C",22.8611111111111,503.341224354303,9.70666109436605
"C",27.1458333333333,510.302938976434,9.48832699855998
"L",0,0,0
"L",0.840277777777778,-0.301809647257231,1.05315785873415
"L",1.84375,13.5031755792287,1.50079228523139
"L",2.85069444444444,91.7152012922902,3.99328226534485
"L",3.80902777777778,186.345892795928,2.65286394868216
"L",4.86111111111111,253.330040675971,3.11260184359501
"L",5.85902777777778,286.926877471037,3.82432002207272
"L",6.83958333333333,307.665260471576,4.12922962909019
"L",8.91666666666667,328.943344465138,4.71382674983638
"L",10.8784722222222,340.962905550257,4.62982612535432
"L",13.125,347.229054926119,4.98354271397727
"L",15.8541666666667,352.160263142493,5.12810096323605
"L",18.9097222222222,356.32467585504,5.82018930373763
"L",22.8611111111111,360.229587520984,6.25891189849099
"L",27.1458333333333,364.855125847165,5.96915483222275
"C",0,0,0
"C",0.840277777777778,70.2066269319074,3.0136508323844
"C",1.84375,177.379535623736,3.37882893530528
"C",2.85069444444444,296.548158083031,2.83032719335764
"C",3.80902777777778,365.035052961571,5.8674203091187
"C",4.86111111111111,404.342318490571,4.21569642099528
"C",5.85902777777778,425.489842169565,4.3172114212109
"C",6.83958333333333,442.300188473544,4.02105907019758
"C",8.91666666666667,462.728178176059,5.01249493269539
"C",10.8784722222222,476.102579566652,4.98569299534236
"C",13.125,485.808887311846,4.79139046070825
"C",15.8541666666667,493.280670464914,5.71400145243261
"C",18.9097222222222,498.670387437379,6.52505107585892
"C",22.8611111111111,506.893502990838,6.67259212677237
"C",27.1458333333333,512.199657529882,7.42465695327939
"L",0,0,0
"L",0.840277777777778,1.75370061221104,0.825354805735235
"L",1.84375,23.052571562418,2.67496489414826
"L",2.85069444444444,111.925836708588,1.79520097969294
"L",3.80902777777778,205.500035561417,3.09651735509636
"L",4.86111111111111,263.324587092234,2.88534227155942
"L",5.85902777777778,290.362707431571,3.10917133596149
"L",6.83958333333333,307.346405646992,2.27534133321302
