"id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"C3",0.840277777777778,0.538555915675197,127.883670888373,68.8725074751936,127.883670888373,68.8725074751936,152.192137255585,81.9639758382469
"C3",1.84375,0.588232530831486,158.375507007665,93.1616253088387,286.259177896039,162.034132784032,157.827494872691,92.8392667437562
"C3",2.85069444444444,0.632595000356194,151.548976533197,95.8691248639986,437.808154429236,257.903257648031,150.503811177796,95.2079584856262
"C3",3.80902777777778,0.679440066890042,90.7928553104289,61.6883036852557,528.601009739665,319.591561333287,94.7403707587084,64.3704038454842
"C3",4.86111111111111,0.625578538531995,55.5224478590091,34.7336517873578,584.123457598674,354.325213120644,52.7738118263849,33.0141640751124
"C3",5.85902777777778,0.664760018314453,35.2704074514197,23.446356703364,619.393865050094,377.771569824008,35.3440408698987,23.4953052559806
"C3",6.83958333333333,0.522280719221584,26.3959178346109,13.7860789511744,645.789782884705,391.557648775183,26.9193496330309,14.0594572873167
"C3",8.91666666666667,0.703810024023815,38.2285706570227,26.9056512325152,684.018353541727,418.463300007698,18.4049287014753,12.9535733115419
"C3",10.8784722222222,0.783459218829378,27.1240810852209,21.2506113784918,711.142434626948,439.71391138619,13.8260802699887,10.8321700477976
"C3",13.125,0.577498999354049,22.7551015815611,13.1410483935513,733.897536208509,452.854959779741,10.1290096684538,5.84949294797955
"C3",15.8541666666667,0.581153622205638,22.4456322000519,13.0443604557557,756.343168408561,465.899320235497,8.22435378322512,4.77961299142192
"C3",18.9097222222222,0.645827089978708,18.2040812652489,11.7566888292716,774.54724967381,477.656009064768,5.95769932317237,3.84764361685253
"C3",22.8611111111111,0.403466768533729,19.1142853285113,7.71197893432614,793.661535002321,485.367987999095,4.8373586771628,1.95171347371347
"C3",27.1458333333333,0.58450700864879,18.2040812652489,10.6404130855501,811.86561626757,496.008401084645,4.24860243467721,2.48333790003115
"I1",0,0,0,0,0,0,NA,NA
"I1",0.840277777777778,0.457000172868679,24.575509708086,11.2310121849312,24.575509708086,11.2310121849312,29.2468875864825,13.3658326828933
"I1",1.84375,0.579501287724331,15.9285711070928,9.23062746816884,40.5040808151788,20.4616396531001,15.8734549440925,9.19868758073573
"I1",2.85069444444444,0.324209520558232,12.7428568856742,4.13135552144661,53.246937700853,24.5929951745467,12.6549751140489,4.10286341440214
"I1",3.80902777777778,0.637067078359291,10.0122446958869,6.37847147622697,63.2591823967399,30.9714666507736,10.4475596826646,6.65579632301945
"I1",4.86111111111111,0.436102105935822,7.73673453773078,3.3740062249708,70.9959169344707,34.3454728757444,7.35372787744708,3.20697621383363
"I1",5.85902777777778,0.859436604059552,7.09959169344707,6.10164897522555,78.0955086279178,40.44712185097,7.11441338800541,6.11438728206318
"I1",6.83958333333333,0.117306388998975,6.82653047446833,0.800795639351338,84.9220391023861,41.2479174903213,6.96190076716317,0.816675439565104
"I1",8.91666666666667,0.929979966850534,11.6506120097593,10.8348357706244,96.5726511121454,52.0827532609457,5.60912112806867,5.21637028074193
"I1",10.8784722222222,0.812267310729514,10.0122446958869,8.13261907349388,106.584895808032,60.2153723344396,5.10358667684146,4.14547662507299
"I1",13.125,0.548913406939057,11.5231834409025,6.32522988132954,118.108079248935,66.5406022157691,5.129330496105,2.8155582779334
"I1",15.8541666666667,0.410766778216306,10.9224487591493,4.48657908702847,129.030528008084,71.0271813027976,4.00211862930663,1.64393737539974
"I1",18.9097222222222,0.724667194544403,10.0122446958869,7.25554527486043,139.042772703971,78.282726577658,3.2767346277448,2.37454208995432
"I1",22.8611111111111,0.0538554940303736,10.1032651022131,0.544116333399522,149.146037806184,78.8268429110576,2.55688958650034,0.137702551862093
"I1",27.1458333333333,0.488820727894966,11.8326528224118,5.78404596557974,160.978690628596,84.6108888766373,2.76159158254019,1.34992320752591
"I2",0,0,0,0,0,0,NA,NA
"I2",0.840277777777778,0.458738270412969,25.4857137713484,11.6912722557084,25.4857137713484,11.6912722557084,30.3301056452411,13.9135802051405
"I2",1.84375,0.549466962175699,16.6112241545396,9.12731887421447,42.0969379258881,20.8185911299228,16.5537458702678,9.0957364559646
"I2",2.85069444444444,0.33430878207282,12.9704079014898,4.33612126853474,55.0673458273779,25.1547123984576,12.880956812514,4.30621698392416
"I2",3.80902777777778,0.670759430738006,11.8326528224118,7.93686347128139,66.8999986497897,33.091575869739,12.3471159886036,8.28194449177188
"I2",4.86111111111111,0.503454779935604,9.0110202262982,4.53664120502624,75.9110188760879,37.6282170747652,8.56493011608542,4.31205500675761
"I2",5.85902777777778,0.724667194544747,8.37387738201449,6.06827422988615,84.2848962581024,43.6964913046514,8.39135938072433,6.08094286084624
"I2",6.83958333333333,0.227185053250068,7.3726529124258,1.67495654450372,91.6575491705282,45.3714478491551,7.51885282853622,1.70817098023042
"I2",8.91666666666667,0.85898737269385,13.6530609489367,11.7278069537561,105.310610119465,57.0992548029112,6.57318882195547,5.64628619639211
"I2",10.8784722222222,0.793932402688611,9.78469368007128,7.76838536299106,115.095303799536,64.8676401659023,4.98759607054961,3.95981413193173
"I2",13.125,0.542632444483678,12.1330201632884,6.58377039017494,127.228323962825,71.4514105560772,5.40078795521956,2.9306427702788
"I2",15.8541666666667,0.46860531646711,11.8326528224118,5.54484402049171,139.060976785236,76.9962545765689,4.33562851508218,2.03169857239391
"I2",18.9097222222222,0.605212490654791,10.0122446958869,6.05953554944293,149.073221481123,83.0557901260118,3.2767346277448,1.98312072527223
"I2",22.8611111111111,0.2282665361655,10.9224487591493,2.49322954469618,159.995670240273,85.549019670708,2.76420495837874,0.630975491100615
"I2",27.1458333333333,0.571366991222344,10.9224487591493,6.24072668429538,170.918118999422,91.7897463550034,2.54916146080633,1.45650671400087
"I3",0,0,0,0,0,0,NA,NA
"I3",0.840277777777778,0.446223968100487,25.4857137713484,11.3723363289243,25.4857137713484,11.3723363289243,30.3301056452411,13.5340200939265
"I3",1.84375,0.583067006739355,16.6112241545396,9.68545674606389,42.0969379258881,21.0577930749882,16.5537458702678,9.65194305490104
"I3",2.85069444444444,0.32170666009455,13.6530609489367,4.39228063794975,55.7499988748247,25.450073712938,13.5589019079095,4.3619890473432
"I3",3.80902777777778,0.564701764990064,10.4673467275181,5.91092917179245,66.2173456023428,31.3610028847304,10.9224487591493,6.16792609230517
"I3",4.86111111111111,0.440777929132121,9.8302038832344,4.33293691059859,76.0475494855772,35.693939795329,9.34356012663864,4.11843508334124
"I3",5.85902777777778,0.884911309516173,7.46367331875205,6.60468893029779,83.5112228043293,42.2986287256268,7.47925510021082,6.61847742493307
"I3",6.83958333333333,0.262333248015454,6.5534692554896,1.71919287556201,90.0646920598189,44.0178216011888,6.68342473647664,1.75328451898675
"I3",8.91666666666667,0.798224544011901,11.923673228738,9.51776862595632,101.988365288557,53.5355902271451,5.74058490450778,4.58227576776232
"I3",10.8784722222222,0.883940133060112,10.0122446958869,8.85022490871266,112.000609984444,62.3858151358578,5.10358667684146,4.51126508621105
"I3",13.125,0.527868880002235,11.2228161000259,5.92417536519174,123.22342608447,68.3099905010495,4.99562756848141,2.63703632948257
"I3",15.8541666666667,0.513659615413853,11.2228161000259,5.76470740179972,134.446242184496,74.0746979028493,4.11217689161256,2.11225920065944
"I3",18.9097222222222,0.629103431433166,10.0122446958869,6.29873749453096,144.458486880383,80.3734353973802,3.2767346277448,2.06140499821013
"I3",22.8611111111111,0.14561557908764,10.7404079464968,1.56397072276663,155.198894826879,81.9374061201468,2.7181348757391,0.39580278396906
"I3",27.1458333333333,0.588735979773661,10.5583671338444,6.21609061935388,165.757261960724,88.1534967395007,2.46418941211278,1.4507569678881
"L1",0,0,0,0,0,0,NA,NA
"L1",0.840277777777778,0.453106834372292,27.3061218978733,12.3725904521293,27.3061218978733,12.3725904521293,32.4965417627584,14.7244051661704
"L1",1.84375,0.683124871405375,44.1448970682286,30.1564771329371,71.4510189661019,42.5290675850665,43.992146559342,30.0521294611969
"L1",2.85069444444444,0.525882315509988,141.991833868941,74.6709943785084,213.442852835043,117.200061963575,141.012579842259,74.1560220034842
"L1",3.80902777777778,0.500957220417096,169.297955766815,84.81103334324,382.740808601858,202.011095306815,176.658736452328,88.4984695755548
"L1",4.86111111111111,0.44107460051503,116.961222129224,51.5886243263973,499.702030731082,253.599719633212,111.171062617876,49.0347320330113
"L1",5.85902777777778,0.478863883459207,60.9836722385838,29.2028781157717,560.685702969666,282.802597748984,61.1109867944055,29.2638444583933
"L1",6.83958333333333,0.388046523363327,40.5040808151788,15.7174677423574,601.189783784845,298.520065491341,41.3072778851681,16.0291455729424
"L1",8.91666666666667,0.591582402648444,47.3306112896471,27.999956745549,648.520395074492,326.52002223689,22.787054582779,13.4804204993616
"L1",10.8784722222222,0.645271318848043,30.1277544939869,19.440575876265,678.648149568479,345.960598113155,15.3571562730411,9.90953248206075
"L1",13.125,0.496906892464652,22.7551015815611,11.307166814611,701.40325115004,357.267764927766,10.1290096684538,5.03317471809579
"L1",15.8541666666667,0.495035822021225,20.625224073527,10.2102247536104,722.028475223567,367.477989681377,7.55733401167401,3.74115105475801
"L1",18.9097222222222,0.55033860512205,18.2951016715751,10.0685007345007,740.323576895142,377.546490415877,5.98748781978823,3.29514569492752
"L1",22.8611111111111,0.32722222296676,19.6604077664688,6.43332233377687,759.983984661611,383.979812749654,4.97556892508174,1.62811672418958
"L1",27.1458333333333,0.508780652288833,19.2053057348376,9.77128797917713,779.189290396448,393.751100728831,4.48227556858446,2.2804950875227
"L2",0,0,0,0,0,0,NA,NA
"L2",0.840277777777778,0.466105561289589,28.2163259611358,13.1517864496452,28.2163259611358,13.1517864496452,33.579759821517,15.6517127995778
"L2",1.84375,0.58414200816478,43.6897950365973,25.5210446089856,71.9061209977331,38.6728310586308,43.538619275225,25.4327364961517
"L2",2.85069444444444,0.523557804377,152.641221409112,79.9165027383781,224.547342406845,118.589333797009,151.588523330428,79.3653544436307
"L2",3.80902777777778,0.50566690408293,165.657139513765,83.7673328771595,390.20448192061,202.356666674168,172.85962384045,87.4093908283404
