"id","elapsed.time","descrip","xCH4"
"C1",0,"C",0
"C1",0.840277777777778,"C",0.541532169042405
"C1",1.84375,"C",0.590404436944977
"C1",2.85069444444444,"C",0.627274920357129
"C1",3.80902777777778,"C",0.678425140330335
"C1",4.86111111111111,"C",0.596225508540765
"C1",5.85902777777778,"C",0.703919798605347
"C1",6.83958333333333,"C",0.49898553928888
"C1",8.91666666666667,"C",0.711847665346581
"C1",10.8784722222222,"C",0.77722726425479
"C1",13.125,"C",0.578126926204064
"C1",15.8541666666667,"C",0.579936567804177
"C1",18.9097222222222,"C",0.660457685298973
"C1",22.8611111111111,"C",0.341948240340594
"C1",27.1458333333333,"C",0.574884612466479
"C2",0,"C",0
"C2",0.840277777777778,"C",0.518435186700089
"C2",1.84375,"C",0.586457028446979
"C2",2.85069444444444,"C",0.639152795411547
"C2",3.80902777777778,"C",0.660307925510605
"C2",4.86111111111111,"C",0.623535353095274
"C2",5.85902777777778,"C",0.680867136452085
"C2",6.83958333333333,"C",0.516239331898317
"C2",8.91666666666667,"C",0.692618371549353
"C2",10.8784722222222,"C",0.764625142277525
"C2",13.125,"C",0.54946696217478
"C2",15.8541666666667,"C",0.491066884719602
"C2",18.9097222222222,"C",0.720056662112892
"C2",22.8611111111111,"C",0.386781032118272
"C2",27.1458333333333,"C",0.54048233487471
"C3",0,"C",0
"C3",0.840277777777778,"C",0.538555915675197
"C3",1.84375,"C",0.588232530831486
"C3",2.85069444444444,"C",0.632595000356194
"C3",3.80902777777778,"C",0.679440066890042
"C3",4.86111111111111,"C",0.625578538531995
"C3",5.85902777777778,"C",0.664760018314453
"C3",6.83958333333333,"C",0.522280719221584
"C3",8.91666666666667,"C",0.703810024023815
"C3",10.8784722222222,"C",0.783459218829378
"C3",13.125,"C",0.577498999354049
"C3",15.8541666666667,"C",0.581153622205638
"C3",18.9097222222222,"C",0.645827089978708
"C3",22.8611111111111,"C",0.403466768533729
"C3",27.1458333333333,"C",0.58450700864879
"I1",0,"I",0
"I1",0.840277777777778,"I",0.457000172868679
"I1",1.84375,"I",0.579501287724331
"I1",2.85069444444444,"I",0.324209520558232
"I1",3.80902777777778,"I",0.637067078359291
"I1",4.86111111111111,"I",0.436102105935822
"I1",5.85902777777778,"I",0.859436604059552
"I1",6.83958333333333,"I",0.117306388998975
"I1",8.91666666666667,"I",0.929979966850534
"I1",10.8784722222222,"I",0.812267310729514
"I1",13.125,"I",0.548913406939057
"I1",15.8541666666667,"I",0.410766778216306
"I1",18.9097222222222,"I",0.724667194544403
"I1",22.8611111111111,"I",0.0538554940303736
"I1",27.1458333333333,"I",0.488820727894966
"I2",0,"I",0
"I2",0.840277777777778,"I",0.458738270412969
"I2",1.84375,"I",0.549466962175699
"I2",2.85069444444444,"I",0.33430878207282
"I2",3.80902777777778,"I",0.670759430738006
"I2",4.86111111111111,"I",0.503454779935604
"I2",5.85902777777778,"I",0.724667194544747
"I2",6.83958333333333,"I",0.227185053250068
"I2",8.91666666666667,"I",0.85898737269385
"I2",10.8784722222222,"I",0.793932402688611
"I2",13.125,"I",0.542632444483678
"I2",15.8541666666667,"I",0.46860531646711
"I2",18.9097222222222,"I",0.605212490654791
"I2",22.8611111111111,"I",0.2282665361655
"I2",27.1458333333333,"I",0.571366991222344
"I3",0,"I",0
"I3",0.840277777777778,"I",0.446223968100487
"I3",1.84375,"I",0.583067006739355
"I3",2.85069444444444,"I",0.32170666009455
"I3",3.80902777777778,"I",0.564701764990064
"I3",4.86111111111111,"I",0.440777929132121
"I3",5.85902777777778,"I",0.884911309516173
"I3",6.83958333333333,"I",0.262333248015454
"I3",8.91666666666667,"I",0.798224544011901
"I3",10.8784722222222,"I",0.883940133060112
"I3",13.125,"I",0.527868880002235
"I3",15.8541666666667,"I",0.513659615413853
"I3",18.9097222222222,"I",0.629103431433166
"I3",22.8611111111111,"I",0.14561557908764
"I3",27.1458333333333,"I",0.588735979773661
"L1",0,"L",0
"L1",0.840277777777778,"L",0.453106834372292
"L1",1.84375,"L",0.683124871405375
"L1",2.85069444444444,"L",0.525882315509988
"L1",3.80902777777778,"L",0.500957220417096
"L1",4.86111111111111,"L",0.44107460051503
"L1",5.85902777777778,"L",0.478863883459207
"L1",6.83958333333333,"L",0.388046523363327
"L1",8.91666666666667,"L",0.591582402648444
"L1",10.8784722222222,"L",0.645271318848043
"L1",13.125,"L",0.496906892464652
"L1",15.8541666666667,"L",0.495035822021225
"L1",18.9097222222222,"L",0.55033860512205
"L1",22.8611111111111,"L",0.32722222296676
"L1",27.1458333333333,"L",0.508780652288833
"L2",0,"L",0
"L2",0.840277777777778,"L",0.466105561289589
"L2",1.84375,"L",0.58414200816478
"L2",2.85069444444444,"L",0.523557804377
"L2",3.80902777777778,"L",0.50566690408293
"L2",4.86111111111111,"L",0.450563605192633
"L2",5.85902777777778,"L",0.450140846186277
"L2",6.83958333333333,"L",0.385164351915416
"L2",8.91666666666667,"L",0.591890678331111
"L2",10.8784722222222,"L",0.635867076768055
"L2",13.125,"L",0.487416879877147
"L2",15.8541666666667,"L",0.429899031079813
"L2",18.9097222222222,"L",0.627333732116593
"L2",22.8611111111111,"L",0.293769325745817
"L2",27.1458333333333,"L",0.49391566898467
"L3",0,"L",0
"L3",0.840277777777778,"L",0.481845819856841
"L3",1.84375,"L",0.575016996062447
"L3",2.85069444444444,"L",0.519588682938641
"L3",3.80902777777778,"L",0.500459904169799
"L3",4.86111111111111,"L",0.458423313139564
"L3",5.85902777777778,"L",0.476691481037486
"L3",6.83958333333333,"L",0.392184935389436
