"method","id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"man","C1",0,0,-3.71632110464606,0,-3.71632110464606,0
"man","C1",0.840277777777778,0.51829550717925,114.214669683754,59.3216503266289,110.498348579108,59.3216503266289
"man","C1",1.84375,0.58421052631579,148.897382714411,87.1455401409332,259.395731293518,146.467190467562
"man","C1",2.85069444444444,0.661670684414632,145.687866480805,96.5399247376085,405.083597774324,243.007115205171
"man","C1",3.80902777777778,0.656071805702218,87.821148078774,57.703584348009,492.904745853098,300.71069955318
"man","C1",4.86111111111111,0.640796845818635,54.6651153577553,35.0842287524178,547.569861210853,335.794928305597
"man","C1",5.85902777777778,0.628314931379631,36.3281105582985,22.8625771714773,583.897971769151,358.657505477075
"man","C1",6.83958333333333,0.620584524810765,27.4833253801777,17.0840128469869,611.381297149329,375.741518324062
"man","C1",8.91666666666667,0.636455085001509,36.5834107717692,23.3206953408788,647.964707921098,399.06221366494
"man","C1",10.8784722222222,0.629475606045238,29.032462774648,18.30482463361,676.997170695746,417.36703829855
"man","C1",13.125,0.623936816524909,25.2417196637986,15.7751267064695,702.238890359545,433.14216500502
"man","C1",15.8541666666667,0.623523233019119,22.3063232442078,13.9313986911379,724.545213603753,447.073563696158
"man","C1",18.9097222222222,0.624212878326224,19.6369721797328,12.2777851577905,744.182185783485,459.351348853948
"man","C1",22.8611111111111,0.629482071713147,20.547480476998,12.9552178327294,764.729666260483,472.306566686678
"man","C1",27.1458333333333,0.632852677220934,19.6130991594524,12.4321209081734,784.342765419936,484.738687594851
"grav","C1",0,NA,0,0,0,0
"grav","C1",0.840277777777778,0.51829550717925,116.881751515966,60.7068987914811,116.881751515966,60.7068987914811
"grav","C1",1.84375,0.58421052631579,158.675557253383,92.868436583146,275.55730876935,153.575335374627
"grav","C1",2.85069444444444,0.661670684414632,152.608972051719,101.126188693949,428.166280821069,254.701524068576
"grav","C1",3.80902777777778,0.656071805702218,87.8934449294643,57.751087569194,516.059725750533,312.45261163777
"grav","C1",4.86111111111111,0.640796845818635,54.8872336674236,35.2267849244025,570.946959417956,347.679396562172
"grav","C1",5.85902777777778,0.628314931379631,35.2168055413515,22.1631932420481,606.163764959308,369.84258980422
"grav","C1",6.83958333333333,0.620584524810765,30.295760284289,18.8322610436118,636.459525243597,388.674850847832
"grav","C1",8.91666666666667,0.636455085001509,32.1211354147795,20.4761447117239,668.580660658376,409.150995559556
"grav","C1",10.8784722222222,0.629475606045238,26.3826623435107,16.6341385267329,694.963323001887,425.785134086289
"grav","C1",13.125,0.623936816524909,25.5786506297625,15.985695905011,720.54197363165,441.7708299913
"grav","C1",15.8541666666667,0.623523233019119,22.2186441975642,13.8766388034469,742.760617829214,455.647468794747
"grav","C1",18.9097222222222,0.624212878326224,18.065452988111,11.2952113256601,760.826070817325,466.942680120407
"grav","C1",22.8611111111111,0.629482071713147,22.7664994661967,14.3543126955868,783.592570283521,481.296992815994
"grav","C1",27.1458333333333,0.632852677220934,20.4542922310507,12.9653264912486,804.046862514572,494.262319307242
"grav","C2",0,NA,0,0,0,0
"grav","C2",0.840277777777778,0.516245487364621,114.839651387802,59.410871018552,114.839651387802,59.410871018552
"grav","C2",1.84375,0.582975841047641,157.854851690236,92.1933425050319,272.694503078038,151.604213523584
"grav","C2",2.85069444444444,0.660025300442758,150.728408766317,99.6323788715024,423.422911844355,251.236592395086
"grav","C2",3.80902777777778,0.664293820282678,92.5050094026954,61.5406620932161,515.92792124705,312.777254488303
"grav","C2",4.86111111111111,0.645082919615506,56.3039700946364,36.3770708321119,572.231891341686,349.154325320414
"grav","C2",5.85902777777778,0.630922693266833,36.3819681193368,22.9912392401297,608.613859461023,372.145564560544
"grav","C2",6.83958333333333,0.623048094940662,30.37243164365,18.9546656098393,638.986291104673,391.100230170383
"grav","C2",8.91666666666667,0.639533705017739,32.9719310618852,21.1198835052049,671.958222166558,412.220113675588
"grav","C2",10.8784722222222,0.633878127522195,23.7786728109928,15.0969011143058,695.736894977551,427.317014789894
"grav","C2",13.125,0.630322645898655,26.5703122725212,16.7749313378136,722.307207250072,444.091946127708
"grav","C2",15.8541666666667,0.628742332880946,22.2563379385273,14.0162098515163,744.5635451886,458.108155979224
"grav","C2",18.9097222222222,0.62914996402508,19.3900699854608,12.2190364666916,763.95361517406,470.327192445916
"grav","C2",22.8611111111111,0.633547335167635,23.1102134155331,14.6648655428591,787.063828589594,484.992057988775
"grav","C2",27.1458333333333,0.635495223730518,20.0970121473098,12.7919027523666,807.160840736903,497.783960741141
"man","C2",2.85069444444444,0.660025300442758,148.969923775703,98.4700097848869,416.142910613884,248.846084358513
"man","C2",3.80902777777778,0.664293820282678,96.5870287123061,64.2563006582279,512.72993932619,313.102385016741
"man","C2",4.86111111111111,0.645082919615506,58.8112814337772,37.9970035300864,571.541220759967,351.099388546827
"man","C2",5.85902777777778,0.630922693266833,39.5058363700279,24.9653381143495,611.047057129995,376.064726661177
"man","C2",6.83958333333333,0.623048094940662,29.393691016681,18.343858364617,640.440748146676,394.408585025794
"man","C2",8.91666666666667,0.639533705017739,38.8600909413089,24.8914930745699,679.300839087985,419.300078100364
"man","C2",10.8784722222222,0.633878127522195,27.727120479819,17.6037409402746,707.027959567804,436.903819040638
"man","C2",13.125,0.630322645898655,25.5492957479702,16.1303215974972,732.577255315774,453.034140638136
"man","C2",15.8541666666667,0.628742332880946,22.0892931916136,13.9110113128437,754.666548507388,466.945151950979
"man","C2",18.9097222222222,0.62914996402508,21.4683436804605,13.5287017791948,776.134892187848,480.473853730174
