"id","cvCH4.grav","cvCH4.man"
"C1",500.443621186015,482.359858614908
"C2",504.91486324294,510.859672068286
"C3",502.128352468059,464.304449890555
"L1",360.657548234732,321.685152535357
"L2",373.133047625873,335.603453896958
"L3",370.775077631876,314.418507841454
