"descrip","elapsed.time","mean.grav","sd.grav","mean.man","sd.man"
"C",0,0,0,0,0
"C",0.840277777777778,63.1750996472371,1.40335912523035,64.5889940051181,1.45401495671131
"C",1.84375,170.557607189987,1.59682494146878,164.087078710542,4.87015974943249
"C",2.85069444444444,287.978310887322,2.26440980957475,275.543249990358,9.55964001638109
"C",3.80902777777778,354.653354339034,2.10669834540864,341.355672544233,15.408386590358
"C",4.86111111111111,393.293394003649,1.12725595036292,380.324517399989,16.0063307644816
"C",5.85902777777778,417.626011006098,1.81102857112598,404.084605908295,16.740660482557
"C",6.83958333333333,436.560280504534,5.14185594146124,420.205311122573,17.4254889031379
"C",8.91666666666667,455.131091414239,4.91498867855988,439.597693241082,18.6359157197811
"C",10.8784722222222,467.751480483395,4.18260166001836,452.077273902157,19.3892961070959
"C",13.125,478.342834729789,4.78219750472231,461.544404509105,20.4449043828158
"C",15.8541666666667,485.901230740425,4.67627294381532,468.867841111982,21.1040342299987
"C",18.9097222222222,491.173716132464,4.77830824036278,475.046602892151,22.0892155444653
"C",22.8611111111111,497.597885929052,5.78736764938663,481.409356160266,23.0167571214439
"C",27.1458333333333,502.66818319459,6.28271274109534,485.997486899276,23.797108076162
"L",0,0,0,0,0
"L",0.840277777777778,0.849495388152334,0.508962969320449,1.134110484657,0.589807741246716
"L",1.84375,17.0022648839862,0.522807324479839,16.9480147460676,1.12058686580383
"L",2.85069444444444,105.171522967854,2.00117704500717,95.1152718233237,3.18460885604314
"L",3.80902777777778,201.741779250183,3.30859319928398,178.638496233827,5.05937173396101
"L",4.86111111111111,261.988743050162,3.20119976367558,231.661799025245,5.68268586762794
"L",5.85902777777778,290.837117603731,2.99728789776062,257.616745997437,6.12666311087712
"L",6.83958333333333,309.707175091433,5.34245062024942,273.219136357196,6.72252232485918
"L",8.91666666666667,330.725091291934,5.07424402981085,292.126855967284,7.61593835787693
"L",10.8784722222222,342.724352818117,5.46971935813824,302.27091382576,7.89620386554868
"L",13.125,350.067286339811,6.30106455814747,308.561968497452,8.05273781258977
"L",15.8541666666667,355.249245502116,6.77073723619056,313.2698817577,8.99357009005515
"L",18.9097222222222,358.330192191995,6.96959154429852,316.395436413697,9.72262307642911
"L",22.8611111111111,362.156370960816,7.67279837318599,319.837455766432,10.7057308927283
"L",27.1458333333333,368.401101327925,8.68961590553855,324.045598318585,11.364872248444
