"descrip","elapsed.time","leak.l","n","mean.man","sd.man","rsd.man","mean.grav","sd.grav","rsd.grav"
"C",27.1458333,FALSE,3,485.997486863583,23.7971080700827,4.89654961462021,502.668183155145,6.2827127370333,1.24987276847283
"L",27.1458333,FALSE,3,324.045598285847,11.3648722432247,3.50718303329629,368.401101279344,8.68961589641342,2.35873776333378
