"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"C3","09122018",27.1458333333285,"1600",276,0,184.0044,183.9829,63.08,36.92,0.3692,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.6308,79.0077,30,1289.25,1013.25,0.785922047702152,1013.25,0.778076406220004,30,0.628069819362695,18.7234529292488,11.8107541077701,766.668336713507,469.691429963737,4.36981721525417,2.75648069938233
"I1","12112018",0,"1230",0,0,NA,183.7168,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,79.961,30,1013.25,1013.25,1,1013.25,1,20,0,-3.76126188331718,0,-3.76126188331718,0,NA,NA
"I1","13112018",0.840277777773736,"0840",348,0,183.7157,183.6832,11.78,22.22,0.653529411764706,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.346470588235294,79.961,30,1361.25,1013.25,0.74435261707989,1013.25,1,30,0,24.7400841254279,8.57171149992768,20.9788222421108,8.57171149992768,29.4427447443109,10.201045090823
"I1","14112018",1.84375,"0845",260,0,183.682,183.6602,22.07,24.42,0.525274252527425,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.474725747472575,79.961,30,1273.25,1013.25,0.795798154329472,1013.25,0.74435261707989,30,0.346470588235294,17.7097635898378,8.40728075774833,38.6885858319485,16.978992257676,17.6484841310494,8.37818982087031
"I1","15112018",2.85069444444525,"0855",216,0,183.6585,183.641,28.81,26.01,0.474461875228019,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.525538124771981,79.961,30,1229.25,1013.25,0.824283099450885,1013.25,0.795798154329472,30,0.474725747472575,14.7375059160953,7.74512122296072,53.4260917480439,24.7241134806367,14.6358679442602,7.69170659383686
"I1","16112018",3.80902777777374,"0755",188,0,183.6415,183.6269,33.7,27.39,0.448354886233426,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.551645113766574,79.961,30,1201.25,1013.25,0.843496357960458,1013.25,0.824283099450885,30,0.525538124771981,12.8331889008038,7.07936595117185,66.2592806488477,31.8034794318086,13.3911536356214,7.38716447078802
"I1","17112018",4.86111111110949,"0910",158,0,183.6256,183.6123,36.96,27.54,0.426976744186046,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.573023255813953,79.961,30,1171.25,1013.25,0.865101387406617,1013.25,0.843496357960458,30,0.551645113766574,10.7586088696782,6.1649330825319,77.0178895185259,37.9684125143405,10.2260044701892,5.85973837547587
"I1","18112018",5.85902777777665,"0907",130,0,183.6145,183.6039,39.62,27.97,0.413818612220743,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.586181387779257,79.961,30,1143.25,1013.25,0.886289088125957,1013.25,0.865101387406617,30,0.573023255813953,8.83345647071037,5.17800777288866,85.8513459892363,43.1464202872291,8.85189792472021,5.18881780999282
"I1","19112018",6.8395833333343,"0839",118,0,183.6004,183.5923,42.59,29.02,0.405250663315179,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.594749336684821,79.961,30,1131.25,1013.25,0.895690607734807,1013.25,0.886289088125957,30,0.586181387779257,8.04451537144257,4.78447018111632,93.8958613606789,47.9308904683455,8.20403833914823,4.87934636034525
"I1","21112018",8.91666666666424,"1030",190,0,183.5946,183.58,47.38,29.33,0.382349107026463,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.617650892973537,79.961,30,1203.25,1013.25,0.84209432786204,1013.25,0.895690607734807,30,0.594749336684821,13.1916253182028,8.14781915756025,107.087486678882,56.0787096259057,6.35103325249481,3.92272135970805
