"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","xCH4","notes","date.time","start.time","time.d","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","leaked"
"C3","17112018",4.86111111110949,"0910",864,NA,184.3456,184.273,60.67,35.58,0.369662337662338,0.630337662337662,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.0745000000000005,0.0725999999999942,0.00190000000000623,0.717250000000007,0.00574999999997772,NA,FALSE
"C3","18112018",5.85902777777665,"0907",576,NA,184.2748,184.2258,59.47,36.96,0.383283210619102,0.616716789380898,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.0472000000000037,0.0490000000000066,-0.00180000000000291,0.764450000000011,0.00394999999997481,NA,FALSE
"C3","19112018",6.8395833333343,"0839",424,NA,184.2222,184.1868,58.06,37.22,0.39063811922754,0.60936188077246,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.0389999999999873,0.0353999999999814,0.00360000000000582,0.803449999999998,0.00754999999998063,NA,FALSE
"C3","21112018",8.91666666666424,"1030",538,NA,184.1899,184.1456,62.59,37.32,0.373536182564308,0.626463817435692,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.0412000000000035,0.0442999999999927,-0.00309999999998922,0.844650000000001,0.00444999999999141,NA,FALSE
"C3","23112018",10.878472222219,"0935",382,NA,184.1488,184.1163,61.26,37.05,0.376869087580104,0.623130912419896,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.0293000000000063,0.0324999999999989,-0.00319999999999254,0.873950000000008,0.00124999999999886,NA,FALSE
"C3","25112018",13.125,"1530",342,NA,184.1142,184.0855,60.39,37.05,0.380233990147783,0.619766009852217,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.0307999999999993,0.0287000000000148,0.00209999999998445,0.904750000000007,0.00334999999998331,NA,FALSE
"C3","28112018",15.8541666666642,"0900",304,NA,184.0837,184.0583,60.532579,37.081952,0.379881474818539,0.620118525181461,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0271999999999935,0.0253999999999905,0.00180000000000291,0.931950000000001,0.00514999999998622,NA,FALSE
"C3","01122018",18.909722222219,"1020",286,NA,184.0583,184.0348,60.95,37.02,0.377870776768398,0.622129223231602,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0235000000000127,0.0235000000000127,0,0.955450000000013,0.00514999999998622,NA,FALSE
"C3","05122018",22.8611111111095,"0910",289,NA,184.0299,184.0064,61.89,36.65,0.371930180637305,0.628069819362695,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.0283999999999764,0.0234999999999843,0.00489999999999213,0.98384999999999,0.0100499999999784,NA,FALSE
"C3","09122018",27.1458333333285,"1600",276,NA,184.0044,183.9829,63.08,36.92,0.3692,0.6308,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.0235000000000127,0.0215000000000032,0.00200000000000955,1.00735,0.0120499999999879,NA,FALSE
